id,voting_id,legislador_id,legislador,bloque_id,bloque,provincia_id,provincia,voto
562535,2190,1156,"ABDALA DE MATARAZZO, Norma Amanda",119,"Frente Cívico por Santiago",22,"Santiago del Estero",AUSENTE
562536,2190,1429,"ACERENZA, Samanta María Celeste",232,PRO,1,"Buenos Aires",AFIRMATIVO
562537,2190,1551,"AICEGA, Juan",232,PRO,1,"Buenos Aires",AFIRMATIVO
562538,2190,1552,"ALLENDE, Walberto Enrique",233,"Todos Juntos por San Juan",18,"San Juan",AFIRMATIVO
562539,2190,1553,"ALONSO, Laura Valeria",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AUSENTE
562540,2190,1554,"ALUME SBODIO, Karim Augusto",244,"Unidad Justicialista",19,"San Luis",NEGATIVO
562541,2190,931,"ÁLVAREZ RODRIGUEZ, María Cristina",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AUSENTE
562542,2190,18,"AMADEO, Eduardo Pablo",232,PRO,1,"Buenos Aires",AFIRMATIVO
562543,2190,1555,"ANSALONI, Pablo Miguel",232,PRO,1,"Buenos Aires",AFIRMATIVO
562544,2190,1556,"ARCE, Mario Horacio",6,"Unión Cívica Radical",9,Formosa,AFIRMATIVO
562545,2190,1557,"ARROYO, Daniel Fernando",245,"Red por Argentina",1,"Buenos Aires",NEGATIVO
562546,2190,1646,"ASENCIO, Fernando",245,"Red por Argentina",1,"Buenos Aires",NEGATIVO
562547,2190,1433,"AUSTIN, Brenda Lis",6,"Unión Cívica Radical",3,Córdoba,AFIRMATIVO
562548,2190,1558,"ÁVILA, Beatriz Luisa",234,"Partido por la Justicia Social",24,Tucumán,AFIRMATIVO
562549,2190,1559,"AYALA, Aida Beatriz Máxima",6,"Unión Cívica Radical",5,Chaco,AFIRMATIVO
562550,2190,1560,"BAHILLO, Juanjo",2,Justicialista,8,"Entre Ríos",AFIRMATIVO
562551,2190,1340,"BALDASSI, Héctor Walter",232,PRO,3,Córdoba,AFIRMATIVO
562552,2190,1435,"BANFI, Karina Verónica",6,"Unión Cívica Radical",1,"Buenos Aires",AFIRMATIVO
562553,2190,1255,"BASTERRA, Luis Eugenio",1,"Frente para la Victoria - PJ",9,Formosa,AUSENTE
562554,2190,1256,"BAZZE, Miguel Ángel",6,"Unión Cívica Radical",1,"Buenos Aires",AFIRMATIVO
562555,2190,1169,"BENEDETTI, Atilio Francisco Salvador",6,"Unión Cívica Radical",8,"Entre Ríos",AFIRMATIVO
562556,2190,1561,"BERISSO, Hernán",232,PRO,1,"Buenos Aires",AFIRMATIVO
562557,2190,1438,"BEVILACQUA, Gustavo",224,"Federal Unidos por una Nueva Argentina",1,"Buenos Aires",NEGATIVO
562558,2190,1052,"BIANCHI, Ivana María",244,"Unidad Justicialista",19,"San Luis",NEGATIVO
562559,2190,829,"BORSANI, Luis Gustavo",6,"Unión Cívica Radical",13,Mendoza,AFIRMATIVO
562560,2190,1439,"BOSSIO, Diego Luis",2,Justicialista,1,"Buenos Aires",NEGATIVO
562561,2190,1647,"BRAGAGNOLO, Sebastián",232,PRO,13,Mendoza,AFIRMATIVO
562562,2190,1562,"BRAMBILLA, Sofía",232,PRO,7,Corrientes,AFIRMATIVO
562563,2190,1441,"BRITEZ, María Cristina",1,"Frente para la Victoria - PJ",14,Misiones,AUSENTE
562564,2190,1347,"BRIZUELA DEL MORAL, Eduardo Segundo",208,"Fte. Cívico y Social de Catamarca",4,Catamarca,AFIRMATIVO
562565,2190,1442,"BRÜGGE, Juan Fernando",177,"Córdoba Federal",3,Córdoba,AFIRMATIVO
562566,2190,1563,"BUCCA, Eduardo",2,Justicialista,1,"Buenos Aires",ABSTENCION
562567,2190,1443,"BUIL, Sergio Omar",232,PRO,1,"Buenos Aires",AFIRMATIVO
562568,2190,1348,"BURGOS, María Gabriela",6,"Unión Cívica Radical",10,Jujuy,AFIRMATIVO
562569,2190,1349,"CABANDIÉ, Juan",1,"Frente para la Victoria - PJ",2,C.A.B.A.,AUSENTE
562570,2190,1350,"CÁCERES, Eduardo Augusto",232,PRO,18,"San Juan",AFIRMATIVO
562571,2190,280,"CAMAÑO, Graciela",224,"Federal Unidos por una Nueva Argentina",1,"Buenos Aires",NEGATIVO
562572,2190,1564,"CAMPAGNOLI, Marcela",171,"Coalición Cívica",1,"Buenos Aires",ABSTENCION
562573,2190,1565,"CAMPOS, Javier",171,"Coalición Cívica",1,"Buenos Aires",ABSTENCION
562574,2190,1351,"CANO, José Manuel",6,"Unión Cívica Radical",24,Tucumán,AFIRMATIVO
562575,2190,1566,"CANTARD, Albor Angel",6,"Unión Cívica Radical",21,"Santa Fe",AFIRMATIVO
562576,2190,1567,"CARAMBIA, Antonio José",232,PRO,20,"Santa Cruz",AFIRMATIVO
562577,2190,1263,"CARMONA, Guillermo Ramón",1,"Frente para la Victoria - PJ",13,Mendoza,AUSENTE
562578,2190,1445,"CAROL, Analuz Ailén",1,"Frente para la Victoria - PJ",23,"Tierra del Fuego",AUSENTE
562579,2190,404,"CARRIÓ, Elisa María Avelina",171,"Coalición Cívica",2,C.A.B.A.,AUSENTE
562580,2190,1352,"CARRIZO, Ana Carla",235,"Evolución Radical",2,C.A.B.A.,NEGATIVO
562581,2190,1354,"CARRIZO, Soledad",6,"Unión Cívica Radical",3,Córdoba,AFIRMATIVO
562582,2190,1568,"CARRO, Pablo",1,"Frente para la Victoria - PJ",3,Córdoba,AUSENTE
562583,2190,1056,"CASELLES, Graciela María",183,"Partido Bloquista de San Juan",18,"San Juan",AFIRMATIVO
562584,2190,1569,"CASSINERIO, Paulo Leonardo",177,"Córdoba Federal",3,Córdoba,AFIRMATIVO
562585,2190,1446,"CASTAGNETO, Carlos Daniel",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AUSENTE
562586,2190,1355,"CASTRO, Sandra Daniela",1,"Frente para la Victoria - PJ",18,"San Juan",AUSENTE
562587,2190,1570,"CERRUTI, Gabriela",1,"Frente para la Victoria - PJ",2,C.A.B.A.,AUSENTE
562588,2190,1265,"CIAMPINI, José Alberto",1,"Frente para la Victoria - PJ",15,Neuquén,AUSENTE
562589,2190,1266,"CLERI, Marcos",1,"Frente para la Victoria - PJ",21,"Santa Fe",AUSENTE
562590,2190,1571,"CONTIGIANI, Luis Gustavo",246,"Frente Progresista Cívico y Social",21,"Santa Fe",NEGATIVO
562591,2190,1572,"CORREA, Walter",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AUSENTE
562592,2190,1573,"CRESTO, Mayda",2,Justicialista,8,"Entre Ríos",AFIRMATIVO
562593,2190,1451,"DAVID, Javier",2,Justicialista,17,Salta,NEGATIVO
562594,2190,1360,"DE MENDIGUREN, José Ignacio",224,"Federal Unidos por una Nueva Argentina",1,"Buenos Aires",NEGATIVO
562595,2190,1269,"DE PEDRO, Eduardo Enrique",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AUSENTE
562596,2190,1452,"DE PONTI, Lucila María",225,"Peronismo para la Victoria",21,"Santa Fe",AUSENTE
562597,2190,1453,"DE VIDO, Julio (Suspendido Art 70 C.N.)",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AUSENTE
562598,2190,1361,"DEL CAÑO, Nicolás",213,"PTS - Frente de Izquierda",1,"Buenos Aires",NEGATIVO
562599,2190,1574,"Del CERRO, Gonzalo Pedro Antonio",6,"Unión Cívica Radical",21,"Santa Fe",AFIRMATIVO
562600,2190,1575,"Del PLÁ, Romina",215,"Fte. de Izquierda y de los Trabajadores",1,"Buenos Aires",NEGATIVO
562601,2190,1576,"DELÚ, Melina Aida",2,Justicialista,11,"La Pampa",AFIRMATIVO
562602,2190,1577,"DERNA, Verónica",226,"Frente de la Concordia Misionero",14,Misiones,AFIRMATIVO
562603,2190,1454,"DI STÉFANO, Daniel",226,"Frente de la Concordia Misionero",14,Misiones,AFIRMATIVO
562604,2190,1455,"DINDART, Julián",6,"Unión Cívica Radical",7,Corrientes,AUSENTE
562606,2190,1456,"DOÑATE, Claudio Martín",1,"Frente para la Victoria - PJ",16,"Río Negro",AUSENTE
562605,2190,1066,"DONDA PÉREZ, Victoria Analía",175,"Libres del Sur",2,C.A.B.A.,NEGATIVO
562607,2190,1458,"ECHEGARAY, Alejandro Carlos Augusto",6,"Unión Cívica Radical",1,"Buenos Aires",AFIRMATIVO
562608,2190,1578,"ENRIQUEZ, Jorge Ricardo",232,PRO,2,C.A.B.A.,AFIRMATIVO
562609,2190,1579,"ESPINOZA, Fernando",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AUSENTE
562610,2190,1459,"ESTEVEZ, Gabriela Beatriz",1,"Frente para la Victoria - PJ",3,Córdoba,AUSENTE
562611,2190,1190,"FELIX, Omar",236,"Somos Mendoza",13,Mendoza,AUSENTE
562612,2190,1580,"FERNANDEZ LANGAN, Ezequiel",232,PRO,1,"Buenos Aires",AFIRMATIVO
562613,2190,1581,"FERNANDEZ PATRI, Gustavo Ramiro",1,"Frente para la Victoria - PJ",9,Formosa,AUSENTE
562614,2190,1582,"FERNANDEZ, Carlos Alberto",6,"Unión Cívica Radical",1,"Buenos Aires",AFIRMATIVO
562615,2190,1276,"FERREYRA, Araceli Susana Del Rosario",225,"Peronismo para la Victoria",7,Corrientes,AUSENTE
562616,2190,1583,"FILMUS, Daniel",1,"Frente para la Victoria - PJ",2,C.A.B.A.,AUSENTE
562617,2190,1584,"FLORES, Danilo Adrián",2,Justicialista,12,"La Rioja",AFIRMATIVO
562618,2190,1071,"FLORES, Héctor Toty",171,"Coalición Cívica",1,"Buenos Aires",AFIRMATIVO
562619,2190,1460,"FRANA, Silvina Patricia",1,"Frente para la Victoria - PJ",21,"Santa Fe",AUSENTE
562620,2190,1461,"FRANCO, Jorge Daniel",226,"Frente de la Concordia Misionero",14,Misiones,AFIRMATIVO
562621,2190,1585,"FREGONESE, Alicia",232,PRO,8,"Entre Ríos",AFIRMATIVO
562622,2190,1586,"FRIZZA, Gabriel Alberto",232,PRO,3,Córdoba,AFIRMATIVO
562623,2190,1462,"FURLAN, Francisco Abel",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AUSENTE
562624,2190,1587,"GARCIA, Alejandro",232,PRO,2,C.A.B.A.,AFIRMATIVO
562625,2190,421,"GARRE, Nilda Celia",1,"Frente para la Victoria - PJ",2,C.A.B.A.,AUSENTE
562626,2190,1463,"GARRETÓN, Facundo",232,PRO,24,Tucumán,AFIRMATIVO
562627,2190,1464,"GAYOL, Yanina Celeste",232,PRO,8,"Entre Ríos",AFIRMATIVO
562628,2190,1588,"GINOCCHIO, Silvana Micaela",237,"Elijo Catamarca",4,Catamarca,AFIRMATIVO
562629,2190,105,"GIOJA, José Luis",1,"Frente para la Victoria - PJ",18,"San Juan",AUSENTE
562630,2190,1466,"GOICOECHEA, Horacio",6,"Unión Cívica Radical",5,Chaco,AFIRMATIVO
562631,2190,1589,"GONZÁLEZ SELIGRA, Nathalia",213,"PTS - Frente de Izquierda",1,"Buenos Aires",NEGATIVO
562632,2190,1467,"GONZÁLEZ, Álvaro Gustavo",232,PRO,2,C.A.B.A.,AFIRMATIVO
562633,2190,1374,"GONZÁLEZ, Josefina Victoria",1,"Frente para la Victoria - PJ",21,"Santa Fe",AUSENTE
562634,2190,1468,"GRANA, Adrián Eduardo",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AUSENTE
562635,2190,1590,"GRANDE, Martín",232,PRO,17,Salta,AFIRMATIVO
562636,2190,1469,"GRANDINETTI, Alejandro Ariel",224,"Federal Unidos por una Nueva Argentina",21,"Santa Fe",NEGATIVO
562637,2190,1285,"GROSSO, Leonardo",225,"Peronismo para la Victoria",1,"Buenos Aires",NEGATIVO
562638,2190,1470,"GUERIN, María Isabel",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AUSENTE
562639,2190,1472,"HERNÁNDEZ, Martín Osvaldo",6,"Unión Cívica Radical",9,Formosa,AFIRMATIVO
562640,2190,1473,"HERRERA, Luis Beder",2,Justicialista,12,"La Rioja",AUSENTE
562641,2190,1474,"HERS CABRAL, Anabella Ruth",232,PRO,2,C.A.B.A.,AUSENTE
