id,voting_id,legislador_id,legislador,bloque_id,bloque,provincia_id,provincia,voto
75815,296,714,"ABALOS, Roberto José",6,"Unión Cívica Radical",22,"Santiago del Estero",NEGATIVO
75816,296,715,"ACCAVALLO, Julio César",39,FREPASO,16,"Río Negro",AUSENTE
75817,296,378,"ACEVEDO, Sergio Edgardo",2,Justicialista,20,"Santa Cruz",NEGATIVO
75818,296,716,"AGUERO, Elda Susana",2,Justicialista,1,"Buenos Aires",AFIRMATIVO
75819,296,379,"ALARCIA, Martha Carmen",2,Justicialista,3,Córdoba,AUSENTE
75820,296,584,"ALARCON, María del Carmen",2,Justicialista,21,"Santa Fe",AFIRMATIVO
75821,296,585,"ALCHOURON, Guillermo Eduardo",50,"Acción por la República",1,"Buenos Aires",NEGATIVO
75822,296,586,"ALESANDRI, Carlos Tomas",2,Justicialista,3,Córdoba,AFIRMATIVO
75823,296,380,"ALESSANDRO, Dario Pedro",39,FREPASO,2,C.A.B.A.,AUSENTE
75824,296,381,"ALLENDE, Alfredo Estanislao",6,"Unión Cívica Radical",1,"Buenos Aires",NEGATIVO
75825,296,717,"ALVAREZ, Roque Tobías",2,Justicialista,24,Tucumán,AFIRMATIVO
75826,296,718,"AMSTUTZ, Guillermo",2,Justicialista,13,Mendoza,AFIRMATIVO
75827,296,587,"ARGUL, Marta del Carmen",65,MO.RE.CI,10,Jujuy,NEGATIVO
75828,296,588,"ARNALDI, Monica Susana",2,Justicialista,1,"Buenos Aires",NEGATIVO
75829,296,719,"BAIGORRIA, Miguel Angel",2,Justicialista,23,"Tierra del Fuego",AFIRMATIVO
75830,296,499,"BALADRON, Manuel Justo",2,Justicialista,11,"La Pampa",NEGATIVO
75831,296,589,"BALIAN, Alejandro",6,"Unión Cívica Radical",3,Córdoba,AUSENTE
75832,296,720,"BALTUZZI, Angel Enzo",2,Justicialista,21,"Santa Fe",AFIRMATIVO
75833,296,721,"BASILE, Daniel Armando",2,Justicialista,1,"Buenos Aires",AFIRMATIVO
75834,296,722,"BASTEIRO, Sergio Ariel",66,"Partido Socialista",1,"Buenos Aires",NEGATIVO
75835,296,723,"BASUALDO, Roberto",2,Justicialista,18,"San Juan",AUSENTE
75836,296,267,"BAYLAC, Juan Pablo",6,"Unión Cívica Radical",1,"Buenos Aires",AFIRMATIVO
75837,296,724,"BAYONZO, Liliana Amelia",6,"Unión Cívica Radical",5,Chaco,NEGATIVO
75838,296,590,"BECERRA, Omar Enrique",2,Justicialista,23,"Tierra del Fuego",AFIRMATIVO
75839,296,725,"BERTONE, Rosana Andrea",2,Justicialista,23,"Tierra del Fuego",AUSENTE
75840,296,372,"BIANCHI SILVESTRE, Marcela Alejandra",2,Justicialista,1,"Buenos Aires",AFIRMATIVO
75841,296,592,"BIGLIERI, María Emilia",9,"Demócrata Progresista",21,"Santa Fe",NEGATIVO
75842,296,726,"BLANCO, Jesus Abel",2,Justicialista,1,"Buenos Aires",AFIRMATIVO
75843,296,593,"BONACINA, Mario Hector",55,"Movimiento Cívico y Social",22,"Santiago del Estero",AUSENTE
