id,voting_id,legislador_id,legislador,bloque_id,bloque,provincia_id,provincia,voto
51657,202,3,"ABASTO, Angel Leonidas",2,Justicialista,1,"Buenos Aires",AUSENTE
51658,202,494,"ABELLA, Miguel Angel",6,"Unión Cívica Radical",3,Córdoba,AFIRMATIVO
51659,202,379,"ALARCIA, Martha Carmen",2,Justicialista,3,Córdoba,NEGATIVO
51660,202,584,"ALARCON, María del Carmen",2,Justicialista,21,"Santa Fe",AUSENTE
51661,202,496,"ALBRISI, César Alfredo",50,"Acción por la República",3,Córdoba,NEGATIVO
51662,202,585,"ALCHOURON, Guillermo Eduardo",50,"Acción por la República",1,"Buenos Aires",NEGATIVO
51663,202,586,"ALESANDRI, Carlos Tomas",2,Justicialista,3,Córdoba,NEGATIVO
51664,202,380,"ALESSANDRO, Dario Pedro",39,FREPASO,25,"Capital Federal",AFIRMATIVO
51665,202,381,"ALLENDE, Alfredo Estanislao",6,"Unión Cívica Radical",1,"Buenos Aires",AFIRMATIVO
51666,202,587,"ARGUL, Marta del Carmen",6,"Unión Cívica Radical",10,Jujuy,AFIRMATIVO
51667,202,588,"ARNALDI, Monica Susana",2,Justicialista,1,"Buenos Aires",NEGATIVO
51668,202,384,"ATANASOF, Alfredo Néstor",2,Justicialista,1,"Buenos Aires",NEGATIVO
51669,202,264,"AYALA, Juan Carlos",2,Justicialista,5,Chaco,AUSENTE
51670,202,265,"BAGLINI, Raúl Eduardo",6,"Unión Cívica Radical",13,Mendoza,ABSTENCION
51671,202,499,"BALADRON, Manuel Justo",2,Justicialista,11,"La Pampa",NEGATIVO
51672,202,28,"BALESTRA, René Helvecio",6,"Unión Cívica Radical",21,"Santa Fe",AFIRMATIVO
51673,202,589,"BALIAN, Alejandro",6,"Unión Cívica Radical",3,Córdoba,AFIRMATIVO
51674,202,31,"BALTER, Carlos Mario",11,"Demócrata de Mendoza",13,Mendoza,AFIRMATIVO
51675,202,267,"BAYLAC, Juan Pablo",6,"Unión Cívica Radical",1,"Buenos Aires",AFIRMATIVO
51676,202,590,"BECERRA, Omar Enrique",2,Justicialista,23,"Tierra del Fuego",AUSENTE
51677,202,591,"BEVACQUA, Adriana Norma",2,Justicialista,8,"Entre Ríos",NEGATIVO
51678,202,592,"BIGLIERI, María Emilia",9,"Demócrata Progresista",21,"Santa Fe",AFIRMATIVO
51679,202,593,"BONACINA, Mario Hector",55,"Movimiento Cívico y Social",22,"Santiago del Estero",AFIRMATIVO
51680,202,43,"BONINO, Miguel Angel",6,"Unión Cívica Radical",19,"San Luis",AFIRMATIVO
