id,voting_id,legislador_id,legislador,bloque_id,bloque,provincia_id,provincia,voto
279339,1088,1033,"ACOSTA, María Julia",1,"Frente para la Victoria - PJ",4,Catamarca,AFIRMATIVO
279340,1088,929,"ACUÑA KUNZ, Juan Erwin",6,"Unión Cívica Radical",20,"Santa Cruz",AUSENTE
279341,1088,1025,"ACUÑA, Hugo Rodolfo",16,"Movimiento Popular Neuquino",15,Neuquén,AFIRMATIVO
279342,1088,1034,"AGOSTO, Walter Alfredo",1,"Frente para la Victoria - PJ",21,"Santa Fe",AFIRMATIVO
279343,1088,930,"AGUAD, Oscar Raúl",6,"Unión Cívica Radical",3,Córdoba,AUSENTE
279344,1088,1035,"AGUIRRE DE SORIA, Hilda Clelia",1,"Frente para la Victoria - PJ",12,"La Rioja",AFIRMATIVO
279345,1088,1036,"ALBARRACIN, Jorge Luis",148,"Consenso Federal",13,Mendoza,AFIRMATIVO
279346,1088,496,"ALBRISI, César Alfredo",132,"Frente Justicia Unión y Libertad",3,Córdoba,AFIRMATIVO
279347,1088,1037,"ALCUAZ, Horacio Alberto",133,"Coalición Cívica - ARI - GEN - UPT",1,"Buenos Aires",AUSENTE
279348,1088,1038,"ALFARO, Germán Enrique",1,"Frente para la Victoria - PJ",24,Tucumán,AUSENTE
279349,1088,820,"ALVAREZ, Juan José",149,"Unión Celeste y Blanco",1,"Buenos Aires",AUSENTE
279350,1088,1039,"ALVARO, Héctor Jorge",131,"De la Concertación",13,Mendoza,AFIRMATIVO
279351,1088,1040,"AMENTA, Marcelo Eduardo",140,"Recrear para el Crecimiento",1,"Buenos Aires",AUSENTE
279352,1088,1041,"ARBO, José Ameghino",135,"Partido Liberal de Corrientes",7,Corrientes,AUSENTE
279353,1088,1042,"ARDID, Mario Rolando",82,"Partido Nuevo Contra la Corrupción",3,Córdoba,ABSTENCION
279354,1088,1043,"ARETA, María Josefa",125,"Frente de Todos",7,Corrientes,AUSENTE
279355,1088,1044,"ARGÜELLO, Octavio",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AUSENTE
279356,1088,932,"ARRIAGA, Julio Esteban",130,"Unión Peronista",16,"Río Negro",AUSENTE
