"id","date","record","title","fileUrl","type","result","recordUrl","detailsUrl","videoUrl","affirmativeCount","negativeCount","abstentionCount","absentCount"
906,"2011-03-16",3,"ARTAZA : PROYECTO DE LEY MODIFICANDO LA LEY 20744 ( CONTRATO DE TRABAJO ) ELIMINANDO LAS SUMAS NO REMUNERATIVAS DINERARIAS DE LAS REMUNERACIONES DEL TRABAJADOR .- O.D. 1192/2010, Art. 7","/parlamentario/parlamentaria/ordenDelDiaResultadoLink/2010/1192","EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/906","/votaciones/detalleActa/906",,45,9,1,17
910,"2011-03-16",4,"JENEFES : PROYECTO DE LEY MODIFICANDO LA LEY 25.065 (TARJETAS DE CREDITO) RESPECTO DE INFORMAR AL TITULAR EL MONTO TOTAL ADEUDADO EN CONCEPTO DE CUOTAS, DISCRIMINADOS PARA LOS 6 MESES POSTERIORES AL RESUMEN EMITIDO .- O.D. 1027/2010","/parlamentario/parlamentaria/ordenDelDiaResultadoLink/2010/1027","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/910","/votaciones/detalleActa/910",,42,0,0,30
958,"2011-03-16",5,"PROYECTO DE LEY EN REVISION SOBRE EXPLORACION Y EXPLOTACION DE HIDROCARBUROS EN LA PLATAFORMA CONTINENTAL ARGENTINA O.D. 1024/2010","/parlamentario/parlamentaria/ordenDelDiaResultadoLink/2010/1024","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/958","/votaciones/detalleActa/958",,40,0,0,32
959,"2011-03-16",6,"Temas Varios O.D. ( O.D. 1106/2010, O.D. 1114/2010","/parlamentario/parlamentaria/ordenDelDiaResultadoLink/2010/1106","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/959","/votaciones/detalleActa/959",,41,0,0,31
967,"2011-03-16",7,"GIUSTINIANI : PROYECTO DE LEY TRANSFIRIENDO A TITULO GRATUITO A LA MUNICIPALIDAD DE SANTA FE, DEL INMUEBLE DE LA EX ESTACION BELGRANO . S-305/11-PL","/parlamentario/comisiones/verExp/305.11/S/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/967","/votaciones/detalleActa/967",,44,0,0,28
968,"2011-03-16",8,"ESTENSSORO Y OTROS : PROYECTO DE LEY INCORPORANDO UN PARRAFO AL ART.63 DEL CODIGO PENAL, ACERCA DE LA EXTENSION DEL PLAZO DE PRESCRIPCION DE LA ACCION PENAL EN LOS CASOS DE DELITOS CONTRA LA INTEGRIDAD SEXUAL. S-3724/10-PL","/parlamentario/comisiones/verExp/3724.10/S/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/968","/votaciones/detalleActa/968",,45,0,0,27
969,"2011-03-16",9,"ESCUDERO : PROYECTO DE LEY ESTABLECIENDO QUE EL CONSEJO DE LA MAGISTRATURA DEBERA LLEVAR UN REGISTRO DE INTERPRETES ""AD HOC"" .- S-2051/10-PL","/parlamentario/comisiones/verExp/2051.10/S/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/969","/votaciones/detalleActa/969",,44,0,0,28
861,"2012-12-19",1,"Temas Varios Expedientes ( PE-191/12-PL, PE-190/12-PL, PE-192/12-PL, CD-193/12-PL","/parlamentario/comisiones/verExp/191.12/PE/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/861","/votaciones/detalleActa/861",,49,3,4,16
862,"2012-12-19",2,"PROYECTO DE LEY EN REVISION ESTABLECIENDO POR UNICA VEZ FERIADO NACIONAL EL DIA 31 DE ENERO DE 2013, EN CONMEMORACION DEL BICENTENARIO DE LA ASAMBLEA GENERAL CONSTITUYENTE DE 1813. CD-120/12-PL","/parlamentario/comisiones/verExp/120.12/CD/PL","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/862","/votaciones/detalleActa/862",,52,5,0,15
863,"2012-11-29",1,"PROYECTO DE LEY EN REVISION SOBRE REGULACION DE LOS SUJETOS Y VALORES NEGOCIABLES COMPRENDIDOS DENTRO DEL MERCADO DE CAPITALES, SUJETOS A LA REGLAMENTACIÓN Y CONTROL DE LA COMISION NACIONAL DE VALORES. O.D. 1351/2012","/parlamentario/parlamentaria/ordenDelDiaResultadoLink/2012/1351","EN GENERAL Y EN PARTICULAR","AFIRMATIVO","/votaciones/verActaVotacion/863","/votaciones/detalleActa/863",,43,19,0,10
