"date","votingId","legislatorId","legislator","party","region","vote","profileUrl","photoUrl"
"2010-12-22",1002,402,"ARTAZA, EUGENIO JUSTINIANO","UNIÓN CÍVICA RADICAL","CORRIENTES","ABSTENCIÓN","/senadores/senador/402","/bundles/senadosenadores/images/fsena/402.png"
"2010-12-22",1002,313,"ESCUDERO, SONIA MARGARITA","JUSTICIALISTA 8 DE OCTUBRE","SALTA","ABSTENCIÓN","/senadores/senador/313","/bundles/senadosenadores/images/fsena/313.png"
"2010-12-22",1002,295,"MORALES, GERARDO RUBÉN","UNIÓN CÍVICA RADICAL","JUJUY","ABSTENCIÓN","/senadores/senador/295","/bundles/senadosenadores/images/fsena/295.png"
"2010-12-22",1002,381,"VERA, ARTURO","UNIÓN CÍVICA RADICAL","ENTRE RÍOS","ABSTENCIÓN","/senadores/senador/381","/bundles/senadosenadores/images/fsena/381.png"
"2010-12-22",1002,362,"BASUALDO, ROBERTO GUSTAVO","PRODUCCIÓN Y TRABAJO","SAN JUAN","AUSENTE","/senadores/senador/362","/bundles/senadosenadores/images/fsena/362.png"
"2010-12-22",1002,408,"BERMEJO, ROLANDO ADOLFO","PJ FRENTE PARA LA VICTORIA","MENDOZA","AUSENTE","/senadores/senador/408","/bundles/senadosenadores/images/fsena/408.png"
"2010-12-22",1002,354,"BORTOLOZZI, ADRIANA RAQUEL","ESPERANZA FEDERAL","FORMOSA","AUSENTE","/senadores/senador/354","/bundles/senadosenadores/images/fsena/354.png"
"2010-12-22",1002,410,"CANO, JOSE MANUEL","UNIÓN CÍVICA RADICAL","TUCUMÁN","AUSENTE","/senadores/senador/410","/bundles/senadosenadores/images/fsena/410.png"
"2010-12-22",1002,337,"CASTILLO, OSCAR ANÍBAL","FRENTE CÍVICO Y SOCIAL DE CATAMARCA","CATAMARCA","AUSENTE","/senadores/senador/337","/bundles/senadosenadores/images/fsena/337.png"
"2010-12-22",1002,405,"CIMADEVILLA, MARIO JORGE","UNIÓN CÍVICA RADICAL","CHUBUT","AUSENTE","/senadores/senador/405","/bundles/senadosenadores/images/fsena/405.png"
"2010-12-22",1002,406,"DI PERNA, GRACIELA AGUSTINA","TRABAJO Y DIGNIDAD","CHUBUT","AUSENTE","/senadores/senador/406","/bundles/senadosenadores/images/fsena/406.png"
"2010-12-22",1002,373,"ESTENSSORO, MARÍA EUGENIA","ALIANZA COALICIÓN CÍVICA","CIUDAD AUTÓNOMA de BUENOS AIRES","AUSENTE","/senadores/senador/373","/bundles/senadosenadores/images/fsena/373.png"
