"date","votingId","legislatorId","legislator","party","region","vote","profileUrl","photoUrl"
"2019-05-22",1014,327,"ALPEROVICH, JOSÉ JORGE","PERONISMO TUCUMAN","TUCUMÁN","AUSENTE","/senadores/senador/327","/bundles/senadosenadores/images/fsena/327.png"
"2019-05-22",1014,359,"CLOSS, MAURICE FABIÁN","MISIONES","MISIONES","AUSENTE","/senadores/senador/359","/bundles/senadosenadores/images/fsena/359.png"
"2019-05-22",1014,490,"COSTA, EDUARDO RAÚL","UNIÓN CÍVICA RADICAL","SANTA CRUZ","AUSENTE","/senadores/senador/490","/bundles/senadosenadores/images/fsena/490.png"
"2019-05-22",1014,440,"CREXELL, CARMEN LUCILA","MOVIMIENTO POPULAR NEUQUINO","NEUQUÉN","AUSENTE","/senadores/senador/440","/bundles/senadosenadores/images/fsena/440.png"
"2019-05-22",1014,451,"ELÍAS DE PEREZ, SILVIA BEATRIZ","UNIÓN CÍVICA RADICAL","TUCUMÁN","AUSENTE","/senadores/senador/451","/bundles/senadosenadores/images/fsena/451.png"
"2019-05-22",1014,477,"GONZÁLEZ, MARÍA TERESA MARGARITA","JUSTICIALISTA","FORMOSA","AUSENTE","/senadores/senador/477","/bundles/senadosenadores/images/fsena/477.png"
"2019-05-22",1014,389,"ITÚRREZ DE CAPPELLINI, ADA ROSA DEL VALLE","FRENTE CÍVICO POR SANTIAGO","SANTIAGO DEL ESTERO","AUSENTE","/senadores/senador/389","/bundles/senadosenadores/images/fsena/389.png"
"2019-05-22",1014,294,"MAYANS, JOSÉ MIGUEL ÁNGEL","JUSTICIALISTA","FORMOSA","AUSENTE","/senadores/senador/294","/bundles/senadosenadores/images/fsena/294.png"
"2019-05-22",1014,471,"MIRKIN, BEATRIZ GRACIELA","PERONISMO TUCUMAN","TUCUMÁN","AUSENTE","/senadores/senador/471","/bundles/senadosenadores/images/fsena/471.png"
"2019-05-22",1014,446,"MONTENEGRO, GERARDO ANTENOR","FRENTE POPULAR","SANTIAGO DEL ESTERO","AUSENTE","/senadores/senador/446","/bundles/senadosenadores/images/fsena/446.png"
"2019-05-22",1014,469,"PEROTTI, OMAR ÁNGEL","JUSTICIALISTA","SANTA FE","AUSENTE","/senadores/senador/469","/bundles/senadosenadores/images/fsena/469.png"
"2019-05-22",1014,489,"POGGI, CLAUDIO JAVIER","AVANZAR SAN LUIS","SAN LUIS","AUSENTE","/senadores/senador/489","/bundles/senadosenadores/images/fsena/489.png"
"2019-05-22",1014,493,"PORCEL DE RICCOBELLI, BLANCA","FRENTE CÍVICO POR SANTIAGO","SANTIAGO DEL ESTERO","AUSENTE","/senadores/senador/493","/bundles/senadosenadores/images/fsena/493.png"
"2019-05-22",1014,365,"RODRÍGUEZ SAÁ, ADOLFO","UNIDAD JUSTICIALISTA","SAN LUIS","AUSENTE","/senadores/senador/365","/bundles/senadosenadores/images/fsena/365.png"
