"date","votingId","legislatorId","legislator","party","region","vote","profileUrl","photoUrl"
"2018-02-28",309,434,"AGUILAR, EDUARDO ALBERTO","JUSTICIALISTA","CHACO","AUSENTE","/senadores/senador/434","/bundles/senadosenadores/images/fsena/434.png"
"2018-02-28",309,327,"ALPEROVICH, JOSÉ JORGE","PERONISMO TUCUMAN","TUCUMÁN","AUSENTE","/senadores/senador/327","/bundles/senadosenadores/images/fsena/327.png"
"2018-02-28",309,448,"CATALÁN MAGNI, JULIO CÉSAR","JUSTICIALISTA","TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR","AUSENTE","/senadores/senador/448","/bundles/senadosenadores/images/fsena/448.png"
"2018-02-28",309,359,"CLOSS, MAURICE FABIÁN","MISIONES","MISIONES","AUSENTE","/senadores/senador/359","/bundles/senadosenadores/images/fsena/359.png"
"2018-02-28",309,490,"COSTA, EDUARDO RAÚL","UNIÓN CÍVICA RADICAL","SANTA CRUZ","AUSENTE","/senadores/senador/490","/bundles/senadosenadores/images/fsena/490.png"
"2018-02-28",309,212,"FERNÁNDEZ DE KIRCHNER, CRISTINA E.","FRENTE PARA LA VICTORIA - PJ","BUENOS AIRES","AUSENTE","/senadores/senador/212","/bundles/senadosenadores/images/fsena/212.png"
"2018-02-28",309,357,"MENEM, CARLOS SAÚL","JUSTICIALISTA","LA RIOJA","AUSENTE","/senadores/senador/357","/bundles/senadosenadores/images/fsena/357.png"
"2018-02-28",309,446,"MONTENEGRO, GERARDO ANTENOR","FRENTE POPULAR","SANTIAGO DEL ESTERO","AUSENTE","/senadores/senador/446","/bundles/senadosenadores/images/fsena/446.png"
"2018-02-28",309,365,"RODRÍGUEZ SAÁ, ADOLFO","UNIDAD JUSTICIALISTA","SAN LUIS","AUSENTE","/senadores/senador/365","/bundles/senadosenadores/images/fsena/365.png"
"2018-02-28",309,433,"SOLANAS, FERNANDO EZEQUIEL","PROYECTO SUR-UNEN","CIUDAD AUTÓNOMA de BUENOS AIRES","AUSENTE","/senadores/senador/433","/bundles/senadosenadores/images/fsena/433.png"
"2018-02-28",309,462,"ALMIRÓN, ANA CLAUDIA","FRENTE PARA LA VICTORIA - PJ","CORRIENTES","NEGATIVO","/senadores/senador/462","/bundles/senadosenadores/images/fsena/462.png"
"2018-02-28",309,427,"BLAS, INÉS IMELDA","JUSTICIALISTA","CATAMARCA","NEGATIVO","/senadores/senador/427","/bundles/senadosenadores/images/fsena/427.png"
"2018-02-28",309,488,"CATALFAMO, MARÍA EUGENIA","JUSTICIALISMO SAN LUIS","SAN LUIS","NEGATIVO","/senadores/senador/488","/bundles/senadosenadores/images/fsena/488.png"
"2018-02-28",309,465,"DURANGO, NORMA HAYDÉE","PARTIDO JUSTICIALISTA LA PAMPA","LA PAMPA","NEGATIVO","/senadores/senador/465","/bundles/senadosenadores/images/fsena/465.png"
"2018-02-28",309,468,"FERNÁNDEZ SAGASTI, ANABEL","FRENTE PARA LA VICTORIA - PJ","MENDOZA","NEGATIVO","/senadores/senador/468","/bundles/senadosenadores/images/fsena/468.png"
"2018-02-28",309,382,"FUENTES, MARCELO JORGE","FRENTE PARA LA VICTORIA - PJ","NEUQUÉN","NEGATIVO","/senadores/senador/382","/bundles/senadosenadores/images/fsena/382.png"
"2018-02-28",309,441,"GARCÍA LARRABURU, SILVINA MARCELA","FRENTE PARA LA VICTORIA - PJ","RÍO NEGRO","NEGATIVO","/senadores/senador/441","/bundles/senadosenadores/images/fsena/441.png"
"2018-02-28",309,456,"GONZÁLEZ, NANCY SUSANA","FRENTE PARA LA VICTORIA - PJ","CHUBUT","NEGATIVO","/senadores/senador/456","/bundles/senadosenadores/images/fsena/456.png"
"2018-02-28",309,492,"IANNI, ANA MARÍA","FRENTE PARA LA VICTORIA - PJ","SANTA CRUZ","NEGATIVO","/senadores/senador/492","/bundles/senadosenadores/images/fsena/492.png"
"2018-02-28",309,437,"KUNATH, SIGRID ELISABETH","JUSTICIALISTA","ENTRE RÍOS","NEGATIVO","/senadores/senador/437","/bundles/senadosenadores/images/fsena/437.png"
"2018-02-28",309,464,"LOVERA, DANIEL ANÍBAL","PARTIDO JUSTICIALISTA LA PAMPA","LA PAMPA","NEGATIVO","/senadores/senador/464","/bundles/senadosenadores/images/fsena/464.png"
"2018-02-28",309,487,"LÓPEZ VALVERDE, CRISTINA DEL CARMEN","JUSTICIALISTA","SAN JUAN","NEGATIVO","/senadores/senador/487","/bundles/senadosenadores/images/fsena/487.png"
"2018-02-28",309,294,"MAYANS, JOSÉ MIGUEL ÁNGEL","JUSTICIALISTA","FORMOSA","NEGATIVO","/senadores/senador/294","/bundles/senadosenadores/images/fsena/294.png"
"2018-02-28",309,471,"MIRKIN, BEATRIZ GRACIELA","PERONISMO TUCUMAN","TUCUMÁN","NEGATIVO","/senadores/senador/471","/bundles/senadosenadores/images/fsena/471.png"
"2018-02-28",309,442,"ODARDA, MARÍA MAGDALENA","RIO - FRENTE PROGRESISTA","RÍO NEGRO","NEGATIVO","/senadores/senador/442","/bundles/senadosenadores/images/fsena/442.png"
