"date","votingId","legislatorId","legislator","party","region","vote","profileUrl","photoUrl"
"2015-03-11",423,408,"BERMEJO, ROLANDO ADOLFO","PJ FRENTE PARA LA VICTORIA","MENDOZA","AUSENTE","/senadores/senador/408","/bundles/senadosenadores/images/fsena/408.png"
"2015-03-11",423,337,"CASTILLO, OSCAR ANÍBAL","FRENTE CÍVICO Y SOCIAL DE CATAMARCA","CATAMARCA","AUSENTE","/senadores/senador/337","/bundles/senadosenadores/images/fsena/337.png"
"2015-03-11",423,406,"DI PERNA, GRACIELA AGUSTINA","TRABAJO Y DIGNIDAD","CHUBUT","AUSENTE","/senadores/senador/406","/bundles/senadosenadores/images/fsena/406.png"
"2015-03-11",423,449,"GARRAMUÑO, JORGE ALBERTO","MOVIMIENTO POPULAR FUEGUINO","TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR","AUSENTE","/senadores/senador/449","/bundles/senadosenadores/images/fsena/449.png"
"2015-03-11",423,288,"GUINLE, MARCELO ALEJANDRO HORACIO","PJ FRENTE PARA LA VICTORIA","CHUBUT","AUSENTE","/senadores/senador/288","/bundles/senadosenadores/images/fsena/288.png"
"2015-03-11",423,321,"LATORRE, ROXANA ITATÍ","FEDERALISMO SANTAFESINO","SANTA FE","AUSENTE","/senadores/senador/321","/bundles/senadosenadores/images/fsena/321.png"
"2015-03-11",423,344,"MARINO, JUAN CARLOS","UNIÓN CÍVICA RADICAL","LA PAMPA","AUSENTE","/senadores/senador/344","/bundles/senadosenadores/images/fsena/344.png"
"2015-03-11",423,403,"MEABE, JOSEFINA ANGELICA","PARTIDO LIBERAL DE CORRIENTES","CORRIENTES","AUSENTE","/senadores/senador/403","/bundles/senadosenadores/images/fsena/403.png"
"2015-03-11",423,357,"MENEM, CARLOS SAÚL","FEDERALISMO Y LIBERACIÓN","LA RIOJA","AUSENTE","/senadores/senador/357","/bundles/senadosenadores/images/fsena/357.png"
"2015-03-11",423,431,"MICHETTI, MARTA GABRIELA","PRO Y UNIÓN POR ENTRE RÍOS","CIUDAD AUTÓNOMA de BUENOS AIRES","AUSENTE","/senadores/senador/431","/bundles/senadosenadores/images/fsena/431.png"
"2015-03-11",423,355,"PETCOFF NAIDENOFF, LUIS CARLOS","UNIÓN CÍVICA RADICAL","FORMOSA","AUSENTE","/senadores/senador/355","/bundles/senadosenadores/images/fsena/355.png"
