"id","title","votingId"
"55-PE-1993","Insistencia de la HCDN en la sanción original del 2° Párrafo del Artículo 34° del Proyecto de Ley registrado bajo el N° 24.307, Presupuesto de la Administración Nacional para el Ejercicio Fiscal 1994, observada parcialmente por el PEN por Decreto 2660/93",3594
"23-S-1994","Comunicación de la Resolución adoptada por el HSN dando cuenta de que la Comisión Bicameral de la Defensoría del Pueblo del HCN propone el nombramiento del Doctor Jorge Luis Maiorano como Defensor del Pueblo",3593
"747-PE-1995","Fondo Fiduciario para el Desarrollo Provincial (Decreto 286/95) - En General y Particular",3583
"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - Artículo 33°",3592
"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - Artículo 23",3591
"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - Artículo 22°",3590
"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - Artículo 21°",3589
"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - Artículo 20°",3588
"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - Artículo 19°",3587
"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - Artículo 10°",3586
"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - En General",3585
"41-PE-1995","Prorroga la vigencia de la Ley de Impuesto a las Ganancias (T.O 1986 y Modificatorias) hasta el 31/12/05",3581
"83-PE-1994","Nuevo Tipo Societario denominado ""Sociedad Anónima de Trabajadores"" (SAT), dentro del marco general de la Ley 19.550 (Sociedades Comerciales) - Artículo 21°",3580
"4607-D-1995","Designación de un Auditor General de la Nación",3579
"152-D-1993","Régimen de inscripción e identificación del recién nacido - En General",3574
"53-S-1995","Insistencia de la HCDN, en el proyecto de Ley Nº 24.485, Modificación de la Carta Orgánica del Banco Central de la República Argentina observada parcialmente por el PEN Decreto 538/95",3573
"27-PE-1994","Ley de Concursos y Quiebras: Derogación de la Ley 19.551. Modificada por las Leyes 22.917 y 22.885 - En Particular",3572
"27-PE-1994","Ley de Concursos y Quiebras: Derogación de la Ley 19.551. Modificada por las Leyes 22.917 y 22.885 - En General dictamen de la mayoría",3571
"447-PE-1994","Régimen de Mediación y Conciliación en Juicios - Artículo 18",3570
"447-PE-1994","Régimen de Mediación y Conciliación en Juicios - Texto del Artículo 16º propuesto por el Diputado Pichetto",3569
"447-PE-1994","Régimen de Mediación y Conciliación en Juicios - Artículo 16º del proyecto aprobado en general",3568
"447-PE-1994","Régimen de Mediación y Conciliación en Juicios - Artículos del 4º al 14º",3567
"59-PE-1994","Régimen de Accidentes de Trabajo, Regulación de la Prevención de los riesgos y la reparación de los Daños Derivados del Trabajo - Artículo 39º",3563
"59-PE-1994","Régimen de Accidentes de Trabajo, Regulación de la Prevención de los riesgos y la reparación de los Daños Derivados del Trabajo - En General",3562
"256-D-1994","Promoción de Juicio Político al Señor Juez de la Sala IV de la Cámara de Apelaciones del Trabajo, Doctor Eduardo Perugini",3561
"6-PE-1994","Régimen para el Conjunto de las Instituciones de Educación Superior y en particular para las Universidades Nacionales, Privadas y Provinciales - En General dictamen de la mayoría",3560
"8-PE-1995","Insistencia de la HCDN en la sanción original del proyecto de ley que trata el Régimen de Normalización para los Trabajadores Autónomos; Derogación del Decreto 2104/93 (Moratoria Previsional), observado por el PEN por Decreto 536/95, Mensaje 0537",3559
"24-S-1995","Insistencia de la HCDN en la sanción original de la Ley de Régimen de Patentes y Modelos de Utilidad observado por el PEN por Decreto 548/95, Mensaje 0544/95",3558
"3-PE-1995","Insistencia de la HCDN en la sanción original de la Ley de Solidaridad Previsional Observada por el PEN por Decreto 417/95, Mensaje 0418",3557
"12-PE-1995","Insistencia de la HCDN, en la sanción original del Proyecto que Prorroga por 180 días la entrada en vigencia del Libro I de la Ley 24.241 (Sistema Integrado de Jubilaciones y Pensiones), según lo dispuesto por el Decreto 806/94, modificado por el Decreto 1362/94, en lo referente al personal en relación de dependencia o Autónomo comprendido en los Convenios de corresponsabilidad gremial - Vetado por el PEN por Decreto 580/95",3556
"53-PE-1993","Régimen de Patentes y Modelos de Utilidad - En General",3555
"1-PE-1995","Autorización al Poder Ejecutivo Nacional a conservar solo una acción de la Clase ""A"" de YPF S.A, disminuyendo la participación accionaria del Estado Nacional por debajo de lo Previsto por el Artículo 8º de la Ley 24.145 - Artículo 4º",3554
"1-PE-1995","Autorización al Poder Ejecutivo Nacional a conservar solo una acción de la Clase ""A"" de YPF S.A, disminuyendo la participación accionaria del Estado Nacional por debajo de lo Previsto por el Artículo 8º de la Ley 24.145 - Artículo 3°",3553
"1-PE-1995","Autorización al Poder Ejecutivo Nacional a conservar solo una acción de la Clase ""A"" de YPF S.A, disminuyendo la participación accionaria del Estado Nacional por debajo de lo Previsto por el Artículo 8º de la Ley 24.145 - Artículo 2º",3552
"1-PE-1995","Autorización al Poder Ejecutivo Nacional a conservar solo una acción de la Clase ""A"" de YPF S.A, disminuyendo la participación accionaria del Estado Nacional por debajo de lo Previsto por el Artículo 8º de la Ley 24.145 - En General",3551
"1-PE-1995","Autorización al Poder Ejecutivo Nacional a conservar solo una acción de la Clase ""A"" de YPF S.A, disminuyendo la participación accionaria del Estado Nacional por debajo de lo Previsto por el Artículo 8º de la Ley 24.145 - En General",3550
"65-PE-1993","Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Artículo 5º",3548
"65-PE-1993","Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Artículo 4º",3547
"65-PE-1993","Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Artículo 3º",3546
"65-PE-1993","Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Rectificación de la votación del Artículo 3º",3535
"65-PE-1993","Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Artículo 3º",3534
"65-PE-1993","Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Artículo 2º Nominal",3533
"65-PE-1993","Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Artículo 1º con modificaciones",3532
"65-PE-1993","Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - En General",3531
"55-PE-1994","Régimen de Solidaridad Previsional y Reformas al Sistema Integrado de Jubilaciones y Pensiones - Artículo 3°",3621
"55-PE-1994","Régimen de Solidaridad Previsional y Reformas al Sistema Integrado de Jubilaciones y Pensiones - Artículo 2°",3620
"68-PE-1994","Insistencia de la HCDN en la sanción del proyecto de Ley registrado con el N° 24.416, Creación del Fondo de Emergencia Agropecuaria, observado totalmente por el PEN por decreto 2272/94",3619
"8-PE-1996","Obligatoriedad de presentar los resultados de las pruebas Físico-químicas, Biológicas, Microbiológicas, Farmacológicas, Toxicológicas y Clínicas ante el ANMAT, el Ministerio de Salud y Acción Social o el IASCAU en casos de requerirse la autorización de dichos Organismos Gubernamentales para la comercialización de un producto en el Mercado Nacional - Ley de Confidencialidad Técnica - En Particular",3544
"8-PE-1996","Obligatoriedad de presentar los resultados de las pruebas Físico-químicas, Biológicas, Microbiológicas, Farmacológicas, Toxicológicas y Clínicas ante el ANMAT, el Ministerio de Salud y Acción Social o el IASCAU en casos de requerirse la autorización de dichos Organismos Gubernamentales para la comercialización de un producto en el Mercado Nacional - Ley de Confidencialidad Técnica - En General",3543
"706-PE-1996","Modificación de las Leyes de Procedimiento Tributario 11.683 y 24.674 - Artículo 13º",3542
"706-PE-1996","Modificación de las Leyes de Procedimiento Tributario 11.683 y 24.674 - En General",3541
"1017-D-1996","Modificación del Reglamento de la H. Cámara de Diputados de la Nación - Artículo 41º del dictamen de la mayoría",3540
"488-D-1995","Insistencia de la HCDN en la sanción original, rechazando las modificaciones introducidas por la Cámara revisora en el Régimen para la iniciativa Popular, Reglamentación del Artículo 39º de la Constitución Nacional",3538
"488-D-1995","Insistencia de la HCDN en la sanción original, rechazando las modificaciones introducidas por la Cámara revisora en el Régimen para la iniciativa Popular, Reglamentación del Artículo 39º de la Constitución Nacional",3537
"815-D-1995","Insistencia de la HCDN en la sanción original, rechazando las modificaciones introducidas por el Senado en la ley de Acceso a la Información - Reglamentación del Artículo 43º de la Constitución Nacional - Habeas Data",3536
"4028-D-1995","Promoción de Juicio Político al titular del Juzgado Criminal de Instrucción Nº 25, Doctor Francisco Trovato",3530
"14-JGM-1996","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1997",3529
"14-JGM-1996","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1997",3528
"14-JGM-96","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1997",3527
"1296-S-1995","Modificación de la Ley 20.744 de Contrato de Trabajo - En General",3524
"26-PE-1996","Insistencia de la HCDN en la sanción original del proyecto que autoriza al PEN a incrementar la partida correspondiente a los Héroes de Malvinas vetado por Decreto 766/96",3523
"24-PE-1996","Insistencia de la HCDN en la sanción original del proyecto que Modifica la ley 23.848 de Pensiones a Ex-Soldados que participaron en la Guerra de Malvinas, Observado por el PEN por decreto 666/96",3522
"4028-D-1996","Pedido de Juicio Político al Señor Juez de Instrucción, Doctor Francisco Miguel Ángel Trovato",3521
"1628-D-1995","Régimen de Gestión de Residuos Radiactivos - Artículo 12º",3520
"2297-D-1996","Ley Nacional de la Actividad Nuclear - En General",3518
"1017-D-1996","Modificación del Reglamento de la HCDN",3516
"2959-D-1993","Insistencia de la HCDN en su sanción original del proyecto de Ley de Régimen para realizar tareas remuneradas en el territorio de la Nación y en Aeronaves, Buques y Artefactos Navales que enarbolen el pabellón Nacional",3514
"167-OV-1996","Promoción de Juicio Político al Titular del Juzgado Nacional en lo Civil Nº 29, Doctor Carlos Wowe",3510
"5216-D-1995","Régimen de Reforma Tributaria - Artículo 9º modificado por el Senado",3509
"5216-D-1995","Régimen de Reforma Tributaria",3508
"67-PE-1995","Prórroga del Pacto Federal para el Empleo, la Producción y el Crecimiento del 12/08/93, con efecto retroactivo hasta el 31/12/96 - Artículo 2º",3507
"67-PE-1995","Prórroga del Pacto Federal para el Empleo, la Producción y el Crecimiento del 12/08/93, con efecto retroactivo hasta el 31/12/96 - Reconsideración de la votación del Artículo 1",3506
"520-S-1996","Régimen Orgánico del Ministerio Público - En General",3503
"935-S-1993","Insistencia de la HCDN en la sanción original del proyecto de Ley de Transferencia a título gratuito de un inmueble a favor de la Asociación Civil Club Teléfonos Buenos Aires en el partido de Vicente López, Provincia de Buenos Aire",3502
"19-JGM-1997","Presupuesto General de la Administración Nacional para el ejercicio fiscal del año 1998",3500
"207-S-1997","Cesión del Estado Nacional al Estado Provincial de Entre Ríos la totalidad de sus Derechos y Obligaciones, sobre el aprovechamiento binacional Hidroeléctrico Salto Grande - En General y Particular",3499
"19-JGM-1997","Presupuesto General de la Administración Nacional para el ejercicio fiscal del año 1998",3498
"19-JGM-1997","Presupuesto General de la Administración Nacional para el ejercicio fiscal del año 1998",3497
"19-JGM-1997","Presupuesto General de la Administración Nacional para el ejercicio fiscal del año 1998",3496
"19-JGM-1997","Presupuesto General de la Administración Nacional para el ejercicio fiscal del año 1998",3495
"19-JGM-1997","Presupuesto General de la Administración Nacional para el ejercicio fiscal del año 1998",3494
"6419-D-1996","Ley de persecución penal eficaz; Incorporación de la figura del arrepentido. Modificación del Código Penal - En General",3491
"909-D-1997","Insistencia de la HCDN en la sanción original del proyecto de Ley de Equiparación del tratamiento arancelario para la importación de determinadas mercaderías provenientes del Mercosur, con los derechos que los otros países miembros aplican a los productos argentinos",3489
"12-PE-1996","Insistencia de la HCDN en la sanción original del proyecto de Ley de estabilidad fiscal por el plazo de 33 años para las inversiones en la actividad forestal y aprovechamiento de Bosques comprendidos en la ley 13.273 de Defensa de la Riqueza Forestal",3488
"7202-D-1996","Promover Juicio Político al Juez Federal de Dolores, Provincia de Buenos Aires, Doctor Hernán Bernasconi",3487
"50-PE-1996","Creación del Fondo Fiduciario Federal de Infraestructura Regional y Privatización del Banco Hipotecario Nacional (Desarrollo Regional y Generación de Empleo) - Artículo 28º",3485
"50-PE-1996","Creación del Fondo Fiduciario Federal de Infraestructura Regional y Privatización del Banco Hipotecario Nacional (Desarrollo Regional y Generación de Empleo) - Artículo 5º",3482
"50-PE-1996","Creación del Fondo Fiduciario Federal de Infraestructura Regional y Privatización del Banco Hipotecario Nacional (Desarrollo Regional y Generación de Empleo) - En General dictamen de la Mayoría",3481
"7-PE-1997","Insistencia de la HCDN en la sanción original de la Ley 24.800. Régimen para la actividad teatral, en los incisos E) y F) del Artículo 19º y en su Artículo 27º, observada por el PEN por decreto 322/97",3479
"7799-D-1996","Promover Juicio Político contra el Titular del Juzgado Federal en lo Criminal y Correccional de Primera Instancia Nº 12 de la Capital Federal, Doctor Carlos Branca",3472
"73-PE-1998","Acuerdo entre la República Argentina y la República de Chile para precisar el recorrido del límite desde el Monte Fritz Roy hasta el Cerro Daudet",3471
"229-S-1998","Distribución del producido del Impuesto sobre los intereses pagados y el costo financiero del endeudamiento empresario y del Impuesto a la Ganancia Mínima presunta - En General y Particular",3470
"3919-D-1996","Desestimar el Juicio Político a los Señores Ministros de la Corte Suprema de Justicia de la Nación - Dictamen de la Mayoría",3467
"16-PE-1998","Régimen de Reforma Laboral",3462
"16-PE-1998","Régimen de Reforma Laboral",3461
"16-PE-1998","Régimen de Reforma Laboral",3460
"16-PE-1998","Régimen de Reforma Laboral",3459
"16-PE-1998","Régimen de Reforma Laboral",3458
"16-PE-1998","Régimen de Reforma Laboral",3457
"16-PE-1998","Régimen de Reforma Laboral",3456
"6787-D-1997","Régimen Legal del Sistema de Tarjetas de Crédito - Artículo 20º con modificaciones",3455
"77-PE-1997","Insistencia de la HCDN en la sanción original del artículo 73º de la ley 24.938, de Presupuesto de la Administración Nacional para el año 1998 vetada por el PEN por decreto 1453/97",3452
"77-PE-1997","Insistencia de la HCDN en la sanción original del artículo 51º de la Ley 24.938, de Presupuesto de la Administración Nacional para el año 1998 vetada por el PEN por decreto 1453/97",3451
"6728-D-1997","Proceder a la Apertura del sobre que contiene la Declaración Jurada Patrimonial del Diputado Antonio Domingo Bussi",3505
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3449
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3448
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3447
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3446
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3445
"6508-D-19999","Modificaciones a diversos regímenes impositivos.",3444
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3443
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3442
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3441
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3440
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3439
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3438
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3437
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3436
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3435
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3434
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3433
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3432
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3431
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3430
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3429
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3428
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3427
"6508-D-1999","Modificaciones a diversos regímenes impositivos.",3426
"3537-D-99","Modificación a la ley 25063 de reforma tributaria - impuesto a la ganancia mínima presunta.",3423
"3537-D-99","Modificación a la ley 25063 de reforma tributaria - impuesto a la ganancia mínima presunta.",3422
"52-PE-98","Régimen de Prestación Privada de Servicios de Seguridad - Título V - Artículos del 17º al 20º con modificaciones",3418
"52-PE-98","Régimen de Prestación Privada de Servicios de Seguridad - Artículo 7º con modificaciones",3417
"75-PE-98","Insistencia de la HCDN sobre la sanción original del proyecto de Ley registrado bajo el Nº 25.064, Presupuesto de la Administración Nacional para el Ejercicio 1999, observado parcialmente por el PE por Decreto 1507/98",3416
"9-JGM-0","Presupuesto general de gastos y cálculo de recursos de la administración nacional para el ejercicio fiscal del año 2001.",3415
