"date","votingId","legislator","party","region","vote","photoUrl","videoUrl"
"1998-03-25 21:50:00",3451,"ABALOVICH, Eduardo Antonio","Unión Cívica Radical","Santiago del Estero","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G344.jpg",
"1998-03-25 21:50:00",3451,"ABAN, Gloria del S.","Justicialista","Salta","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G309.jpg",
"1998-03-25 21:50:00",3451,"ABASTO, Angel Leonidas","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A2965.jpg",
"1998-03-25 21:50:00",3451,"ABELLA, Miguel Angel","Unión Cívica Radical","Córdoba","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3252.jpg",
"1998-03-25 21:50:00",3451,"ACEVEDO, Sergio Edgardo","Justicialista","Santa Cruz","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4070.jpg",
"1998-03-25 21:50:00",3451,"ADAIME, Felipe Teófilo","Autonomista de Corrientes","Corrientes","NEGATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G61.jpg",
"1998-03-25 21:50:00",3451,"AGUIRRE, Orlando Raul","Justicialista","Formosa","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G356.jpg",
"1998-03-25 21:50:00",3451,"ALARCIA, Martha Carmen","Justicialista","Córdoba","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A3451.jpg",
"1998-03-25 21:50:00",3451,"ALBRISI, César Alfredo","Acción por la República","Córdoba","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A1429.jpg",
"1998-03-25 21:50:00",3451,"ALESSANDRO, Dario Pedro","FREPASO","Capital Federal","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A80.jpg",
"1998-03-25 21:50:00",3451,"ALLENDE, Alfredo Estanislao","Unión Cívica Radical","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A2889.jpg",
"1998-03-25 21:50:00",3451,"ALSOGARAY, Albaro Carlos","Unión Centro Democrático","Capital Federal","NEGATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G59.jpg",
"1998-03-25 21:50:00",3451,"ALTERACH, Miguel Angel","Justicialista","Misiones","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G311.jpg",
"1998-03-25 21:50:00",3451,"ALVAREZ ECHAGUE, Raul A.","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G130.jpg",
"1998-03-25 21:50:00",3451,"ALVAREZ GARCIA, Normando","Unión Cívica Radical","Jujuy","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G67.jpg",
"1998-03-25 21:50:00",3451,"ALVAREZ, Carlos Alberto","FREPASO","Capital Federal","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G128.jpg",
"1998-03-25 21:50:00",3451,"ARAGONES de JUAREZ, Mercedes","Justicialista","Santiago del Estero","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G231.jpg",
"1998-03-25 21:50:00",3451,"ARAMBURU, Guillermo Raul","Unión Cívica Radical","Santa Fe","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G357.jpg",
"1998-03-25 21:50:00",3451,"ARIAS, Cesar","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G17.jpg",
"1998-03-25 21:50:00",3451,"ATANASOF, Alfredo Néstor","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A1795.jpg",
"1998-03-25 21:50:00",3451,"AUBIA, Jorge Eduardo","Unión Cívica Radical","Chubut","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G358.jpg",
"1998-03-25 21:50:00",3451,"AVELIN de GINESTAR, Nancy B.","Cruzada Renovadora","San Juan","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G359.jpg",
"1998-03-25 21:50:00",3451,"AVILA, Eduardo Carlos","Justicialista","Santiago del Estero","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G360.jpg",
"1998-03-25 21:50:00",3451,"AYALA, Juan Carlos","Justicialista","Chaco","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A35.jpg",
"1998-03-25 21:50:00",3451,"BALADRON, Manuel Justo","Justicialista","La Pampa","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3059.jpg",
"1998-03-25 21:50:00",3451,"BALESTRA, René Helvecio","Unión Cívica Radical","Santa Fe","ABSTENCION","https://votaciones.hcdn.gob.ar/public/diputados/images/A1792.jpg",
"1998-03-25 21:50:00",3451,"BALTER, Carlos Mario","Demócrata de Mendoza","Mendoza","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A21.jpg",
"1998-03-25 21:50:00",3451,"BANZAS de MOREAU, María del Cármen","Unión Cívica Radical","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G345.jpg",
"1998-03-25 21:50:00",3451,"BARBERIS, Edgardo Angel","Unión Cívica Radical","Santa Fe","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G361.jpg",
"1998-03-25 21:50:00",3451,"BARRIOS ARRECHEA, Ricardo A.","Unión Cívica Radical","Misiones","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G346.jpg",
"1998-03-25 21:50:00",3451,"BARRIOS, Luis Américo","Justicialista","La Rioja","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G312.jpg",
"1998-03-25 21:50:00",3451,"BAYLAC, Juan Pablo","Unión Cívica Radical","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A2076.jpg",
"1998-03-25 21:50:00",3451,"BECERRA, Carlos Armando","Unión Cívica Radical","Córdoba","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G136.jpg",
"1998-03-25 21:50:00",3451,"BENEDETTI, Jorge Enrique","Unión Cívica Radical","Capital Federal","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G70.jpg",
"1998-03-25 21:50:00",3451,"BIANCULLI, Leticia","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G313.jpg",
"1998-03-25 21:50:00",3451,"BONINO, Miguel Angel","Unión Cívica Radical","San Luis","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A3475.jpg",
"1998-03-25 21:50:00",3451,"BORDENAVE, Marcela Antonia","FREPASO","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A1402.jpg",
"1998-03-25 21:50:00",3451,"BRANDONI, Adalberto Luis","Unión Cívica Radical","Capital Federal","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A979.jpg",
"1998-03-25 21:50:00",3451,"BRAVO, Alfredo Pedro","FREPASO","Capital Federal","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A87.jpg",
"1998-03-25 21:50:00",3451,"BRAVO, Leopoldo Alfredo","Bloquista de San Juan","San Juan","NEGATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G363.jpg",
"1998-03-25 21:50:00",3451,"BRITOS, Oraldo Norvel","Justicialista","San Luis","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A2073.jpg",
"1998-03-25 21:50:00",3451,"BULACIO, Rafael Alfredo","Republicano Democrático","Tucumán","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G314.jpg",
"1998-03-25 21:50:00",3451,"BUSSI, Ricardo Argentino","Fuerza Republicana","Tucumán","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A3654.jpg",
"1998-03-25 21:50:00",3451,"CABALLERO MARTIN, Carlos Aurelio","Demócrata Progresista","Santa Fe","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A1397.jpg",
"1998-03-25 21:50:00",3451,"CAFFERATA NORES, José Ignacio","Unión Cívica Radical","Córdoba","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G347.jpg",
"1998-03-25 21:50:00",3451,"CAFIERO, Juan Pablo","FREPASO","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A123.jpg",
"1998-03-25 21:50:00",3451,"CAFIERO, Mario Alejandro","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A1396.jpg",
"1998-03-25 21:50:00",3451,"CAILLET, Carmen del Rosario","Justicialista","San Juan","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G365.jpg",
"1998-03-25 21:50:00",3451,"CAMAÑO, Eduardo Oscar","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A31.jpg",
"1998-03-25 21:50:00",3451,"CAMAÑO, Graciela","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3457.jpg",
"1998-03-25 21:50:00",3451,"CAMBARERI, Fortunato Rafael","Unión Cívica Radical","Chubut","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A110.jpg",
"1998-03-25 21:50:00",3451,"CAPUTO, Dante Mario","FREPASO","Capital Federal","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G148.jpg",
"1998-03-25 21:50:00",3451,"CARBAJAL, Arnoldo Dante","Unión Cívica Radical","Formosa","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G366.jpg",
"1998-03-25 21:50:00",3451,"CARDESA, Enrique Gustavo","FREPASO","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A1778.jpg",
"1998-03-25 21:50:00",3451,"CARDOSO, Marta Elena","Justicialista","La Pampa","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G315.jpg",
"1998-03-25 21:50:00",3451,"CARRARA, Emilio Eduardo","Justicialista","Chaco","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G316.jpg",
"1998-03-25 21:50:00",3451,"CARRIÓ, Elisa María Avelina","Unión Cívica Radical","Chaco","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3815.jpg",
"1998-03-25 21:50:00",3451,"CASELLA, Juan Manuel","Unión Cívica Radical","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G307.jpg",
"1998-03-25 21:50:00",3451,"CASTILLO, José Luis","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G150.jpg",
"1998-03-25 21:50:00",3451,"CASTRO, Alicia Amalia","FREPASO","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3436.jpg",
"1998-03-25 21:50:00",3451,"CAVALLO, Domingo Felipe","Acción por la República","Capital Federal","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A3794.jpg",
"1998-03-25 21:50:00",3451,"CEBALLOS de MARIN, Fani A.","Renovador de Salta","Salta","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G368.jpg",
"1998-03-25 21:50:00",3451,"CHAYA, María Lelia","Justicialista","Salta","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3765.jpg",
"1998-03-25 21:50:00",3451,"CHICA RODRIGUEZ, Juan José","Justicialista","San Juan","ABSTENCION","https://votaciones.hcdn.gob.ar/public/diputados/images/G369.jpg",
"1998-03-25 21:50:00",3451,"COLOMBO, María Teresita del Valle","Unión Cívica Radical","Catamarca","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A3801.jpg",
"1998-03-25 21:50:00",3451,"COLUCIGNO, Aurelia Alicia","Unión Cívica Radical","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A2997.jpg",
"1998-03-25 21:50:00",3451,"CONTI, Diana Beatriz","FREPASO","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4440.jpg",
"1998-03-25 21:50:00",3451,"CORCHUELO BLASCO, José Manuel","Justicialista","Chubut","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3790.jpg",
"1998-03-25 21:50:00",3451,"CRUCHAGA, Melchor René","Unión Cívica Radical","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G9.jpg",
"1998-03-25 21:50:00",3451,"CURLETTI, Miriam Belén","Unión Cívica Radical","Chaco","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A2835.jpg",
"1998-03-25 21:50:00",3451,"D`ERRICO, María Rita Antonia","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3795.jpg",
"1998-03-25 21:50:00",3451,"DAS NEVES, Mario","Justicialista","Chubut","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50818.jpg",
"1998-03-25 21:50:00",3451,"DE BARIAZARRA, Roberto Rodolfo","Unión Cívica Radical","Rio Negro","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A88.jpg",
"1998-03-25 21:50:00",3451,"DE SANCTIS, Guillermo Horacio","Justicialista","San Juan","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A79.jpg",
"1998-03-25 21:50:00",3451,"DELICH, Andrés Guillermo","Unión Cívica Radical","Capital Federal","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G350.jpg",
"1998-03-25 21:50:00",3451,"DIAZ COLODRERO, Luis María","Liberal de Corrientes","Corrientes","NEGATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A2576.jpg",
"1998-03-25 21:50:00",3451,"DIAZ LOZANO, Julio César","Justicialista","Tucumán","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G317.jpg",
"1998-03-25 21:50:00",3451,"DOMINA, Esteban Alberto","Justicialista","Córdoba","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G318.jpg",
"1998-03-25 21:50:00",3451,"DOMINGUEZ, Dolores Carmen","Justicialista","Capital Federal","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G370.jpg",
"1998-03-25 21:50:00",3451,"DOMINGUEZ, Lorenzo Sebastián","P.A.I.S.","Santa Fe","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G319.jpg",
"1998-03-25 21:50:00",3451,"DRAGICEVIC, Carmen Nilda","Justicialista","Tierra del Fuego","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G320.jpg",
"1998-03-25 21:50:00",3451,"DRISALDI, María Rita","Justicialista","Santa Cruz","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3736.jpg",
"1998-03-25 21:50:00",3451,"DUFOU, Pedro Alfredo","Unión Cívica Radical","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G397.jpg",
"1998-03-25 21:50:00",3451,"DUMON, José Gabriel","Unión Cívica Radical","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A943.jpg",
"1998-03-25 21:50:00",3451,"ESCALANTE ORTIZ, Herminia Elsa","Justicialista","Corrientes","NEGATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G321.jpg",
"1998-03-25 21:50:00",3451,"ESTEVEZ BOERO, Guillermo E.","FREPASO","Santa Fe","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G157.jpg",
"1998-03-25 21:50:00",3451,"ESTRADA, Arnaldo Damian","Justicialista","Salta","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G371.jpg",
"1998-03-25 21:50:00",3451,"ETCHEVEHERE, Arturo Roosevelt","Unión Cívica Radical","Entre Ríos","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A69.jpg",
"1998-03-25 21:50:00",3451,"FADEL, Mario Nallib","FREPASO","Catamarca","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G372.jpg",
"1998-03-25 21:50:00",3451,"FAYAD, Victor Manuel Federico","Unión Cívica Radical","Mendoza","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A16.jpg",
"1998-03-25 21:50:00",3451,"FERNANDEZ de COMBES, Elsa A.","FREPASO","Santa Fe","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G351.jpg",
"1998-03-25 21:50:00",3451,"FERNANDEZ de KIRCHNER, Cristina","Justicialista","Santa Cruz","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3774.jpg",
"1998-03-25 21:50:00",3451,"FERNANDEZ MEIJIDE, Graciela","FREPASO","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G251.jpg",
"1998-03-25 21:50:00",3451,"FERNANDEZ, Alberto Manuel","Movimiento Popular Neuquino","Neuquén","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G398.jpg",
"1998-03-25 21:50:00",3451,"FERNANDEZ, Pablo Damian","FREPASO","La Pampa","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A37.jpg",
"1998-03-25 21:50:00",3451,"FERREYRA, Mario Felix","Justicialista","Tierra del Fuego","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A2037.jpg",
"1998-03-25 21:50:00",3451,"FLORES, Rafael Horacio","FREPASO","Santa Cruz","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A2797.jpg",
"1998-03-25 21:50:00",3451,"FOLLONI, Jorge Oscar","Renovador de Salta","Salta","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3797.jpg",
"1998-03-25 21:50:00",3451,"FONTANETTO, Beatriz Zulema","Unión Cívica Radical","Santa Fe","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A65.jpg",
"1998-03-25 21:50:00",3451,"FRANCOS, Guillermo Alberto","Acción por la República","Capital Federal","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G82.jpg",
"1998-03-25 21:50:00",3451,"FRIGERI, Rodolfo Anibal","Justicialista","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A3488.jpg",
"1998-03-25 21:50:00",3451,"GABRIELLI, Rodolfo Federíco","Justicialista","Mendoza","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G373.jpg",
"1998-03-25 21:50:00",3451,"GALLAND, Gustavo Carlos","FREPASO","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A2521.jpg",
"1998-03-25 21:50:00",3451,"GALMARINI, Fernando Nicolás","Justicialista","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G374.jpg",
"1998-03-25 21:50:00",3451,"GARCIA de CANO, Maria Isabel","Unión Cívica Radical","Entre Ríos","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A118.jpg",
"1998-03-25 21:50:00",3451,"GARCIA, Francisco Alberto","Justicialista","Mendoza","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3277.jpg",
"1998-03-25 21:50:00",3451,"GARRE, Nilda Celia","FREPASO","Capital Federal","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4151.jpg",
"1998-03-25 21:50:00",3451,"GATTI, Héctor Angel","FREPASO","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G31.jpg",
"1998-03-25 21:50:00",3451,"GIANNI, Gloria María Cristina","Unión Cívica Radical","Córdoba","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G375.jpg",
"1998-03-25 21:50:00",3451,"GILES, Guillermo Jorge","FREPASO","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/B2.jpg",
"1998-03-25 21:50:00",3451,"GIUSTINIANI, Rubén Hector","FREPASO","Santa Fe","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A2883.jpg",
"1998-03-25 21:50:00",3451,"GODOY, Norma","Justicialista","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/B1.jpg",
"1998-03-25 21:50:00",3451,"GOLLY, Eduardo Ceferino","Justicialista","Entre Ríos","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G376.jpg",
"1998-03-25 21:50:00",3451,"GOMEZ DIEZ, Ricardo","Renovador de Salta","Salta","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3681.jpg",
"1998-03-25 21:50:00",3451,"GONZALEZ CABAÑAS, José Armando","Frente Partido Nuevo","Corrientes","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3799.jpg",
"1998-03-25 21:50:00",3451,"GONZALEZ de DUHALDE, Ilda","Justicialista","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A3779.jpg",
"1998-03-25 21:50:00",3451,"GONZALEZ GAVIOLA, Juan Horacio","Cruzada Renovadora","Mendoza","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G91.jpg",
"1998-03-25 21:50:00",3451,"GONZALEZ, María América","FREPASO","Capital Federal","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A1549.jpg",
"1998-03-25 21:50:00",3451,"GONZALEZ, María Luisa","Justicialista","Chaco","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G377.jpg",
"1998-03-25 21:50:00",3451,"GONZALEZ, Oscar Felix","Justicialista","Córdoba","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A4063.jpg",
"1998-03-25 21:50:00",3451,"GORVEIN, Diego Rodolfo","Justicialista","Formosa","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A2019.jpg",
"1998-03-25 21:50:00",3451,"GOÑI, María Virginia","Linea Abierta","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G378.jpg",
"1998-03-25 21:50:00",3451,"GRANADOS, Dulce","Justicialista","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A3458.jpg",
"1998-03-25 21:50:00",3451,"GUDIÑO, Hermelinda Amalia","Justicialista","Tierra del Fuego","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G323.jpg",
"1998-03-25 21:50:00",3451,"GUEVARA, Cristina Rosalía","Unión Cívica Radical","Capital Federal","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A779.jpg",
"1998-03-25 21:50:00",3451,"GUTIERREZ, Diana Bárbara","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G324.jpg",
"1998-03-25 21:50:00",3451,"GUTIERREZ, Gustavo Eduardo","Demócrata de Mendoza","Mendoza","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3803.jpg",
"1998-03-25 21:50:00",3451,"GUZMAN, María Cristina","Movimiento Popular Jujeño","Jujuy","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G92.jpg",
"1998-03-25 21:50:00",3451,"HAQUIM, Carlos Guillermo","Justicialista","Jujuy","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G325.jpg",
"1998-03-25 21:50:00",3451,"HERRERA ARIAS, Manuel H.","Justicialista","Santiago del Estero","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G180.jpg",
"1998-03-25 21:50:00",3451,"HERRERA PAEZ, Enzo Thelismar","Unión Cívica Radical","La Rioja","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3516.jpg",
"1998-03-25 21:50:00",3451,"HERRERA, Alberto","Justicialista","Tucumán","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A3814.jpg",
"1998-03-25 21:50:00",3451,"ILLIA, Martín Arturo","Unión Cívica Radical","Córdoba","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G399.jpg",
"1998-03-25 21:50:00",3451,"IRRAZABAL, Liliana María","Justicialista","Misiones","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G326.jpg",
