,legislador_id,id_hcdn,legislador,Afirmativos,Negativos,Abstenciones,Ausencias,Total,url_hcdn
1428,1321,501,"SCHMIDT LIERMANN, Cornelia",514,244,22,102,882,https://votaciones.hcdn.gob.ar/diputado/501
1429,1408,497,"SCHWINDT, María Liliana",317,42,30,101,490,https://votaciones.hcdn.gob.ar/diputado/497
1430,566,1697,"SCIOLI, Daniel",73,43,4,181,301,https://votaciones.hcdn.gob.ar/diputado/1697
1431,1130,190,"SCIUTTO, Rubén Darío",464,74,25,209,772,https://votaciones.hcdn.gob.ar/diputado/190
1432,1425,448,"SCOTTO, Silvia Carolina",22,2,0,1,25,https://votaciones.hcdn.gob.ar/diputado/448
1433,476,1598,"SCRIMIZZI, Gloria Elida",61,15,1,0,77,https://votaciones.hcdn.gob.ar/diputado/1598
1434,230,1111,"SEBASTIANI, Claudio Augusto",111,51,2,117,281,https://votaciones.hcdn.gob.ar/diputado/1111
1435,676,1112,"SEBRIANO, Luis Alberto",68,50,0,47,165,https://votaciones.hcdn.gob.ar/diputado/1112
1436,1131,455,"SEGARRA, Adela Rosa",672,36,4,60,772,https://votaciones.hcdn.gob.ar/diputado/455
1437,351,1301,"SEGUI, Hector Miguel",8,2,0,4,14,https://votaciones.hcdn.gob.ar/diputado/1301
1438,806,1113,"SEJAS, Lisandro Mauricio",19,17,1,35,72,https://votaciones.hcdn.gob.ar/diputado/1113
1439,807,1114,"SELLARES, Francisco Nicolás",155,10,5,43,213,https://votaciones.hcdn.gob.ar/diputado/1114
1440,1528,359,"SELVA, Carlos Américo",330,40,17,88,475,https://votaciones.hcdn.gob.ar/diputado/359
1441,1409,416,"SEMHAN, María de las Mercedes",272,101,4,113,490,https://votaciones.hcdn.gob.ar/diputado/416
1442,1410,120,"SEMINARA, Eduardo Jorge",317,131,2,40,490,https://votaciones.hcdn.gob.ar/diputado/120
1443,1132,366,"SEREBRINSKY, Gustavo Eduardo",254,18,8,85,365,https://votaciones.hcdn.gob.ar/diputado/366
1444,1010,1115,"SESMA, Laura Judith",267,106,18,441,832,https://votaciones.hcdn.gob.ar/diputado/1115
1445,1630,1692,"SIERRA, Magdalena",80,38,6,44,168,https://votaciones.hcdn.gob.ar/diputado/1692
1446,1631,1694,"SILEY, Vanesa",100,46,3,19,168,https://votaciones.hcdn.gob.ar/diputado/1694
1447,583,1581,"SILVA CASANOVA, Juan Alberto",6,1,0,6,13,https://votaciones.hcdn.gob.ar/diputado/1581
1448,1322,492,"SIMONCINI, Silvia Rosa",335,7,1,64,407,https://votaciones.hcdn.gob.ar/diputado/492
1449,912,41,"SLUGA, Juan Carlos",631,38,5,389,1063,https://votaciones.hcdn.gob.ar/diputado/41
1450,375,1490,"SMITH, Santos",49,6,1,18,74,https://votaciones.hcdn.gob.ar/diputado/1490
1451,1529,291,"SNOPEK, Alejandro",320,34,13,108,475,https://votaciones.hcdn.gob.ar/diputado/291
1452,567,1116,"SNOPEK, Carlos Daniel",911,117,43,91,1162,https://votaciones.hcdn.gob.ar/diputado/1116
1453,1530,310,"SNOPEK, Guillermo",186,31,5,85,307,https://votaciones.hcdn.gob.ar/diputado/310
1454,231,1470,"SOBRINO, Margarita María",70,43,4,47,164,https://votaciones.hcdn.gob.ar/diputado/1470
1455,677,1117,"SODA, Maria Nilda",94,51,6,14,165,https://votaciones.hcdn.gob.ar/diputado/1117
1456,352,1403,"SODERO NIEVAS, Victor Hugo",7,1,1,5,14,https://votaciones.hcdn.gob.ar/diputado/1403
1457,232,16,"SOLANAS, Fernando Ezequiel",106,72,8,301,487,https://votaciones.hcdn.gob.ar/diputado/16
1458,808,98,"SOLANAS, Julio Rodolfo",693,175,16,79,963,https://votaciones.hcdn.gob.ar/diputado/98
1459,1011,1118,"SOLANAS, Raúl Patricio",645,23,3,161,832,https://votaciones.hcdn.gob.ar/diputado/1118
1460,678,1120,"SOLMOIRAGO, Raul Jorge",93,34,3,35,165,https://votaciones.hcdn.gob.ar/diputado/1120
1461,1133,13,"SOLÁ, Felipe Carlos",614,157,50,317,1138,https://votaciones.hcdn.gob.ar/diputado/13
1462,1531,496,"SORAIRE, Mirta Alicia",251,141,6,77,475,https://votaciones.hcdn.gob.ar/diputado/496
1463,1532,253,"SORGENTE, Marcelo Adolfo",147,31,1,128,307,https://votaciones.hcdn.gob.ar/diputado/253
1464,353,1234,"SORIA ARCH, José María",10,4,0,0,14,https://votaciones.hcdn.gob.ar/diputado/1234
1465,233,1122,"SORIA, Carlos Ernesto",169,79,5,41,294,https://votaciones.hcdn.gob.ar/diputado/1122
1466,477,1527,"SORIA, Edmundo del Valle",64,19,5,12,100,https://votaciones.hcdn.gob.ar/diputado/1527
1467,1411,586,"SORIA, María Emilia",331,148,5,174,658,https://votaciones.hcdn.gob.ar/diputado/586
1468,913,1123,"SOSA, Carlos Alberto",378,83,30,207,698,https://votaciones.hcdn.gob.ar/diputado/1123
1469,1533,589,"SOSA, Soledad",77,169,40,21,307,https://votaciones.hcdn.gob.ar/diputado/589
1470,1012,504,"SOTO, Gladys Beatriz",985,37,5,212,1239,https://votaciones.hcdn.gob.ar/diputado/504
1471,568,1121,"SOÑEZ, Federico Roman",57,25,0,35,117,https://votaciones.hcdn.gob.ar/diputado/1121
1472,1013,1125,"SPATOLA, Paola Rosana",434,99,37,262,832,https://votaciones.hcdn.gob.ar/diputado/1125
1473,478,1582,"SPERATTI, Alfredo Ramiro",51,20,7,22,100,https://votaciones.hcdn.gob.ar/diputado/1582
1474,234,1302,"SPINOZA, Augusto Juan",47,34,1,29,111,https://votaciones.hcdn.gob.ar/diputado/1302
1475,1412,235,"SPINOZZI, Ricardo Adrián",337,82,11,60,490,https://votaciones.hcdn.gob.ar/diputado/235
1476,1632,1704,"STEFANI, Héctor Antonio",106,59,1,2,168,https://votaciones.hcdn.gob.ar/diputado/1704
1477,927,1126,"STELLA, Anibal Jesus",477,34,18,118,647,https://votaciones.hcdn.gob.ar/diputado/1126
1478,569,433,"STOLBIZER, Margarita Rosa",429,289,26,399,1143,https://votaciones.hcdn.gob.ar/diputado/433
1479,354,1303,"STORANI, Conrado Hugo",7,6,0,1,14,https://votaciones.hcdn.gob.ar/diputado/1303
1480,235,1127,"STORANI, Federico Teobaldo",99,96,8,692,895,https://votaciones.hcdn.gob.ar/diputado/1127
1481,1236,402,"STORANI, María Luisa",158,76,3,86,323,https://votaciones.hcdn.gob.ar/diputado/402
1482,809,1128,"STORERO, Hugo",442,223,18,96,779,https://votaciones.hcdn.gob.ar/diputado/1128
1483,1134,434,"STORNI, Silvia",131,87,10,137,365,https://votaciones.hcdn.gob.ar/diputado/434
1484,479,1129,"STUBRIN, Marcelo Juan Alberto",138,59,7,61,265,https://votaciones.hcdn.gob.ar/diputado/1129
1485,1413,251,"STURZENEGGER, Federico Adolfo",81,65,8,29,183,https://votaciones.hcdn.gob.ar/diputado/251
1486,1633,1654,"SUAREZ LASTRA, Facundo",107,58,0,3,168,https://votaciones.hcdn.gob.ar/diputado/1654
1487,480,1528,"SUAREZ, Juan Carlos",63,23,0,14,100,https://votaciones.hcdn.gob.ar/diputado/1528
1488,236,1235,"SUCARIA, Nevef",75,22,2,12,111,https://votaciones.hcdn.gob.ar/diputado/1235
1489,237,1236,"SUEIRO, Carlos Adolfo",73,11,0,27,111,https://votaciones.hcdn.gob.ar/diputado/1236
1490,355,1304,"SUREDA, Angela Geronima",6,6,0,2,14,https://votaciones.hcdn.gob.ar/diputado/1304
1491,1014,1130,"SYLVESTRE BEGNIS, Juan Héctor",655,35,14,128,832,https://votaciones.hcdn.gob.ar/diputado/1130
1492,1127,301,"SÁNCHEZ, Fernando",474,208,41,193,916,https://votaciones.hcdn.gob.ar/diputado/301
1493,1534,198,"TABOADA, Jorge",247,29,10,189,475,https://votaciones.hcdn.gob.ar/diputado/198
1494,356,1237,"TACTA de ROMERO, Emma Andrea",5,1,2,6,14,https://votaciones.hcdn.gob.ar/diputado/1237
1495,582,1599,"TAGLIAFICO, Jose A.",18,9,1,5,33,https://votaciones.hcdn.gob.ar/diputado/1599
1496,1535,281,"TAILHADE, Luis Rodolfo",229,161,10,75,475,https://votaciones.hcdn.gob.ar/diputado/281
1497,810,1131,"TANONI, Enrique",100,24,6,83,213,https://votaciones.hcdn.gob.ar/diputado/1131
1498,914,1132,"TATE, Alicia Ester",259,149,22,268,698,https://votaciones.hcdn.gob.ar/diputado/1132
1499,679,1133,"TAZZIOLI, Atilio Pascual",76,31,10,47,164,https://votaciones.hcdn.gob.ar/diputado/1133
1500,1424,51,"TEJEDOR, Miguel Angel",16,8,2,17,43,https://votaciones.hcdn.gob.ar/diputado/51
1501,570,1134,"TEJERINA, Julio Alberto",63,37,2,15,117,https://votaciones.hcdn.gob.ar/diputado/1134
1502,238,1471,"TENEV, Carlos",88,15,7,54,164,https://votaciones.hcdn.gob.ar/diputado/1471
1503,1414,372,"TENTOR, Héctor Olindo",355,31,6,98,490,https://votaciones.hcdn.gob.ar/diputado/372
1504,239,1472,"TEODOSIU, Jorge Nicolas",44,61,3,56,164,https://votaciones.hcdn.gob.ar/diputado/1472
1505,1237,422,"TERADA, Alicia",476,232,28,202,938,https://votaciones.hcdn.gob.ar/diputado/422
1506,240,1482,"TERRAGNO, Rodolfo Héctor",40,34,2,56,132,https://votaciones.hcdn.gob.ar/diputado/1482
1507,1015,357,"THOMAS, Enrique Luis",721,150,9,275,1155,https://votaciones.hcdn.gob.ar/diputado/357
1508,1323,255,"TINEO, Javier Héctor",219,4,1,183,407,https://votaciones.hcdn.gob.ar/diputado/255
1509,915,1135,"TINNIRELLO, Carlos Alberto",46,146,72,434,698,https://votaciones.hcdn.gob.ar/diputado/1135
1510,241,1473,"TOGNI de VELY, Adriana Leonor",89,17,4,54,164,https://votaciones.hcdn.gob.ar/diputado/1473
1511,680,1136,"TOLEDO, Hugo David",421,64,13,365,863,https://votaciones.hcdn.gob.ar/diputado/1136
1512,1415,382,"TOLEDO, Susana María",333,98,12,47,490,https://votaciones.hcdn.gob.ar/diputado/382
1513,481,1492,"TOLOMEO, Leonor Esther",58,19,3,39,119,https://votaciones.hcdn.gob.ar/diputado/1492
1514,242,1137,"TOMA, Miguel Angel",120,55,2,97,274,https://votaciones.hcdn.gob.ar/diputado/1137
1515,1238,158,"TOMAS, Héctor Daniel",484,119,3,51,657,https://votaciones.hcdn.gob.ar/diputado/158
1516,1416,151,"TOMASSI, Néstor Nicolás",293,20,4,173,490,https://votaciones.hcdn.gob.ar/diputado/151
1517,1016,1138,"TOMAZ, Adriana Elisa",428,87,21,296,832,https://votaciones.hcdn.gob.ar/diputado/1138
1518,1017,102,"TONELLI, Pablo Gabriel",722,319,57,350,1448,https://votaciones.hcdn.gob.ar/diputado/102
1519,243,1305,"TOPA, Raúl Roque",19,25,4,52,100,https://votaciones.hcdn.gob.ar/diputado/1305
1520,1536,148,"TORELLO, Pablo",349,101,7,18,475,https://votaciones.hcdn.gob.ar/diputado/148
1521,1135,451,"TORFE, Mónica Liliana",231,42,8,84,365,https://votaciones.hcdn.gob.ar/diputado/451
1522,1018,1140,"TORINO, Héctor Omar",232,10,2,317,561,https://votaciones.hcdn.gob.ar/diputado/1140
1523,1417,155,"TORRES DEL SEL, Miguel Ignacio",65,48,7,4,124,https://votaciones.hcdn.gob.ar/diputado/155
1524,571,1142,"TORRES MOLINA, Ramon Horacio",61,32,2,22,117,https://votaciones.hcdn.gob.ar/diputado/1142
1525,916,1141,"TORRES, Francisco",32,44,14,42,132,https://votaciones.hcdn.gob.ar/diputado/1141
1526,1418,113,"TORROBA, Francisco Javier",343,93,14,40,490,https://votaciones.hcdn.gob.ar/diputado/113
1527,811,1143,"TORRONTEGUI, María Angélica",317,100,47,449,913,https://votaciones.hcdn.gob.ar/diputado/1143
1528,244,1238,"TOTO, Francisco Patricio",75,15,1,20,111,https://votaciones.hcdn.gob.ar/diputado/1238
1529,1537,1178,"TOVARES, Ramon Alberto",82,19,4,21,126,https://votaciones.hcdn.gob.ar/diputado/1178
1530,681,1144,"TREJO, Luis Alberto",99,35,4,27,165,https://votaciones.hcdn.gob.ar/diputado/1144
1531,245,1483,"TRETTEL MEYER, Raúl",71,48,1,44,164,https://votaciones.hcdn.gob.ar/diputado/1483
1532,1239,305,"TRIACA, Alberto Jorge",129,105,8,264,506,https://votaciones.hcdn.gob.ar/diputado/305
1533,1419,495,"TROIANO, Gabriela Alejandra",273,120,23,74,490,https://votaciones.hcdn.gob.ar/diputado/495
1534,246,1404,"TROYANO, Silvia Elena",41,11,10,49,111,https://votaciones.hcdn.gob.ar/diputado/1404
1535,482,1145,"TULIO, Rosa Ester",765,127,15,56,963,https://votaciones.hcdn.gob.ar/diputado/1145
1536,1420,458,"TUNDIS, Mirta",474,70,42,72,658,https://votaciones.hcdn.gob.ar/diputado/458
1537,1240,134,"TUNESSI, Juan Pedro",170,82,7,64,323,https://votaciones.hcdn.gob.ar/diputado/134
1538,572,1146,"UBALDINI, Saul Edolver",225,68,9,28,330,https://votaciones.hcdn.gob.ar/diputado/1146
1539,357,1239,"URIONDO, Luis Enrique Ramón",6,2,0,6,14,https://votaciones.hcdn.gob.ar/diputado/1239
1540,1136,103,"URLICH, Carlos",171,89,8,97,365,https://votaciones.hcdn.gob.ar/diputado/103
1541,1538,436,"URROZ, Paula",348,97,3,27,475,https://votaciones.hcdn.gob.ar/diputado/436
1542,682,1148,"URTUBEY, Juan Manuel",563,94,7,128,792,https://votaciones.hcdn.gob.ar/diputado/1148
1543,247,1185,"USANDIZAGA, Horacio Daniel",25,17,2,51,95,https://votaciones.hcdn.gob.ar/diputado/1185
1544,1031,217,"UÑAC, José Rubén",704,26,3,140,873,https://votaciones.hcdn.gob.ar/diputado/217
1545,1019,1149,"VACA NARVAJA, Patricia",548,27,3,50,628,https://votaciones.hcdn.gob.ar/diputado/1149
1546,573,1150,"VAGO, Ricardo Nicolás",77,36,0,4,117,https://votaciones.hcdn.gob.ar/diputado/1150
1547,248,1405,"VALCARCEL, Juan Manuel",95,20,3,93,211,https://votaciones.hcdn.gob.ar/diputado/1405
1548,574,1151,"VALDOVINOS, Arnaldo Pastor",46,37,0,34,117,https://votaciones.hcdn.gob.ar/diputado/1151
1549,1421,272,"VALDÉS, Gustavo Adolfo",251,76,9,154,490,https://votaciones.hcdn.gob.ar/diputado/272
1550,1324,9,"VALINOTTO, Jorge Anselmo",131,103,23,150,407,https://votaciones.hcdn.gob.ar/diputado/9
1551,1634,1701,"VALLEJOS, María Fernanda",37,12,2,117,168,https://votaciones.hcdn.gob.ar/diputado/1701
1552,1635,1618,"VALLONE, Andres Alberto",59,16,10,83,168,https://votaciones.hcdn.gob.ar/diputado/1618
1553,358,1152,"VANOSSI, Jorge",215,90,28,379,712,https://votaciones.hcdn.gob.ar/diputado/1152
1554,1325,373,"VAQUIE, Enrique Andrés",135,126,8,138,407,https://votaciones.hcdn.gob.ar/diputado/373
1555,359,1306,"VARELA BARRIOS, Juan Carlos",9,2,2,1,14,https://votaciones.hcdn.gob.ar/diputado/1306
1556,249,1240,"VARELA CID, Eduardo",60,12,5,34,111,https://votaciones.hcdn.gob.ar/diputado/1240
1557,250,1406,"VARELA, Nestor Angel",39,5,3,64,111,https://votaciones.hcdn.gob.ar/diputado/1406
1558,683,1153,"VARESE, Luis Segundo",40,13,1,30,84,https://votaciones.hcdn.gob.ar/diputado/1153
1559,917,280,"VARGAS AIGNASSE, Gerónimo",692,49,17,296,1054,https://votaciones.hcdn.gob.ar/diputado/280
1560,1020,1154,"VARISCO, Sergio Fausto",156,144,11,521,832,https://votaciones.hcdn.gob.ar/diputado/1154
1561,918,1155,"VARIZAT, Daniel Alberto",143,7,0,9,159,https://votaciones.hcdn.gob.ar/diputado/1155
1562,1636,1699,"VAZQUEZ, Juan Benedicto",64,21,7,76,168,https://votaciones.hcdn.gob.ar/diputado/1699
1563,360,1156,"VAZQUEZ, Ricardo Hector",101,46,4,28,179,https://votaciones.hcdn.gob.ar/diputado/1156
1564,251,1407,"VAZQUEZ, Roberto",25,5,1,80,111,https://votaciones.hcdn.gob.ar/diputado/1407
1565,252,470,"VAZQUEZ, Silvia Beatriz",271,74,12,289,646,https://votaciones.hcdn.gob.ar/diputado/470
1566,1241,516,"VEAUTE, Mariana Alejandra",100,76,3,144,323,https://votaciones.hcdn.gob.ar/diputado/516
1567,1137,53,"VEGA, Juan Carlos",110,42,14,199,365,https://votaciones.hcdn.gob.ar/diputado/53
1568,1539,522,"VEGA, María Clara del Valle",241,37,2,27,307,https://votaciones.hcdn.gob.ar/diputado/522
1569,1021,1157,"VELARDE, Marta Sylvia",561,87,6,178,832,https://votaciones.hcdn.gob.ar/diputado/1157
1570,253,1241,"VENESIA, Gualberto Edgardo",67,13,0,31,111,https://votaciones.hcdn.gob.ar/diputado/1241
1571,575,1158,"VENICA, Pedro Antonio",64,28,3,235,330,https://votaciones.hcdn.gob.ar/diputado/1158
1572,483,1542,"VENSENTINI, Marcelo Edmundo",44,31,1,24,100,https://votaciones.hcdn.gob.ar/diputado/1542
1573,1540,1180,"VERA GONZALEZ, Orieta Cecilia",173,78,0,38,289,https://votaciones.hcdn.gob.ar/diputado/1180
1574,1145,1159,"VERA, Pedro Ramón Ademar",20,0,0,2,22,https://votaciones.hcdn.gob.ar/diputado/1159
1575,484,1583,"VERAMENDI, Juan Carlos",68,17,0,15,100,https://votaciones.hcdn.gob.ar/diputado/1583
1576,1138,244,"VIALE, Lisandro Alfredo",211,91,4,59,365,https://votaciones.hcdn.gob.ar/diputado/244
1577,485,1529,"VIAÑA, Mariano Roberto",52,18,3,27,100,https://votaciones.hcdn.gob.ar/diputado/1529
1578,254,1307,"VICCHI, Raúl Horacio",67,87,1,56,211,https://votaciones.hcdn.gob.ar/diputado/1307
1579,1242,517,"VIDELA, Nora Esther",134,55,4,130,323,https://votaciones.hcdn.gob.ar/diputado/517
1580,255,1484,"VIGLIONE, Atilio Oscar",79,54,0,31,164,https://votaciones.hcdn.gob.ar/diputado/1484
1581,1637,1682,"VIGO, Alejandra María",75,10,4,79,168,https://votaciones.hcdn.gob.ar/diputado/1682
1582,1139,367,"VILARIÑO, José Antonio",670,39,6,57,772,https://votaciones.hcdn.gob.ar/diputado/367
1583,486,1530,"VILCHE, Carlos Alberto",64,22,2,12,100,https://votaciones.hcdn.gob.ar/diputado/1530
1584,1326,52,"VILLA, José Antonio",285,7,0,115,407,https://votaciones.hcdn.gob.ar/diputado/52
1585,1638,1660,"VILLA, Natalia Soledad",106,57,0,5,168,https://votaciones.hcdn.gob.ar/diputado/1660
1586,487,1160,"VILLALBA, Alfredo Horacio",118,79,7,61,265,https://votaciones.hcdn.gob.ar/diputado/1160
1587,1541,175,"VILLALONGA, Juan Carlos",357,95,1,22,475,https://votaciones.hcdn.gob.ar/diputado/175
1588,1422,481,"VILLAR MOLINA, María Inés",395,23,1,71,490,https://votaciones.hcdn.gob.ar/diputado/481
1589,1327,364,"VILLATA, Graciela Susana",147,134,23,103,407,https://votaciones.hcdn.gob.ar/diputado/364
1590,812,1161,"VILLAVERDE, Jorge Antonio",613,70,9,353,1045,https://votaciones.hcdn.gob.ar/diputado/1161
1591,1542,556,"VILLAVICENCIO, María Teresita",358,61,12,44,475,https://votaciones.hcdn.gob.ar/diputado/556
1592,361,1408,"VIQUEIRA, Horacio",41,26,1,46,114,https://votaciones.hcdn.gob.ar/diputado/1408
1593,813,1162,"VITALE, Domingo",170,14,12,17,213,https://votaciones.hcdn.gob.ar/diputado/1162
1594,256,1163,"VITAR, Jose Alberto",120,78,17,114,329,https://votaciones.hcdn.gob.ar/diputado/1163
1595,814,1164,"VIVO, Horacio",31,10,1,7,49,https://votaciones.hcdn.gob.ar/diputado/1164
1596,576,1165,"VOLANDO, Humberto Antonio",83,22,2,10,117,https://votaciones.hcdn.gob.ar/diputado/1165
1597,1543,525,"VOLNOVICH, Luana",208,144,8,115,475,https://votaciones.hcdn.gob.ar/diputado/525
1598,815,1166,"WALSH, Patricia",27,128,10,48,213,https://votaciones.hcdn.gob.ar/diputado/1166
1599,1243,129,"WAYAR, Walter Raúl",245,21,6,51,323,https://votaciones.hcdn.gob.ar/diputado/129
1600,1544,228,"WECHSLER, Marcelo Germán",372,98,2,3,475,https://votaciones.hcdn.gob.ar/diputado/228
1601,1639,1616,"WELLBACH, Ricardo",108,15,0,45,168,https://votaciones.hcdn.gob.ar/diputado/1616
1602,1022,15,"WEST, Mariano Federíco",786,52,3,90,931,https://votaciones.hcdn.gob.ar/diputado/15
1603,919,1167,"WILDER, Ricardo",367,55,14,262,698,https://votaciones.hcdn.gob.ar/diputado/1167
1604,1545,225,"WISKY, Sergio Javier",353,87,1,34,475,https://votaciones.hcdn.gob.ar/diputado/225
1605,1546,276,"WOLFF, Waldo Ezequiel",358,94,4,19,475,https://votaciones.hcdn.gob.ar/diputado/276
1606,1329,476,"YAGÛE, Linda Cristina",75,63,3,92,233,https://votaciones.hcdn.gob.ar/diputado/476
1607,1244,267,"YARADE, Rodolfo Fernando",254,24,4,41,323,https://votaciones.hcdn.gob.ar/diputado/267
1608,712,1168,"YAREGUI, Alberto",2,5,1,2,10,https://votaciones.hcdn.gob.ar/diputado/1168
1609,1640,1669,"YASKY, Hugo",67,37,2,62,168,https://votaciones.hcdn.gob.ar/diputado/1669
1610,1330,30,"YAZBEK, Rubén David",217,3,1,3,224,https://votaciones.hcdn.gob.ar/diputado/30
1611,1641,1700,"YEDLIN, Pablo Raúl",140,15,5,8,168,https://votaciones.hcdn.gob.ar/diputado/1700
1612,362,105,"YOMA, Jorge Raul",94,66,3,174,337,https://votaciones.hcdn.gob.ar/diputado/105
1613,363,1409,"ZABALA, Gilberto Antonio",7,2,0,5,14,https://votaciones.hcdn.gob.ar/diputado/1409
1614,1331,22,"ZABALZA, Juan Carlos",132,125,21,129,407,https://votaciones.hcdn.gob.ar/diputado/22
1615,577,1169,"ZACARIAS, Juan Domingo",29,21,20,47,117,https://votaciones.hcdn.gob.ar/diputado/1169
1616,1642,1610,"ZAMARBIDE, Federico Raúl",100,58,1,9,168,https://votaciones.hcdn.gob.ar/diputado/1610
1617,1333,571,"ZAMARREÑO, María Eugenia",383,8,1,1,393,https://votaciones.hcdn.gob.ar/diputado/571
1618,364,1308,"ZAMBIANCHI, Carlos",6,2,0,6,14,https://votaciones.hcdn.gob.ar/diputado/1308
1619,1643,1685,"ZAMORA, Claudia",66,13,1,88,168,https://votaciones.hcdn.gob.ar/diputado/1685
1620,365,1410,"ZAMORA, Federico",1,0,0,13,14,https://votaciones.hcdn.gob.ar/diputado/1410
1621,366,1170,"ZAMORA, Luis Fernando",13,102,21,91,227,https://votaciones.hcdn.gob.ar/diputado/1170
1622,1023,1171,"ZANCADA, Pablo Ventura",478,155,18,181,832,https://votaciones.hcdn.gob.ar/diputado/1171
1623,578,1172,"ZAPATA MERCADER, Jorge",41,37,7,32,117,https://votaciones.hcdn.gob.ar/diputado/1172
1624,367,1411,"ZARACHO, Evelio Argentino",6,2,0,6,14,https://votaciones.hcdn.gob.ar/diputado/1411
1625,257,1485,"ZAVALIA, José Luis",25,26,1,145,197,https://votaciones.hcdn.gob.ar/diputado/1485
1626,1140,285,"ZAVALLO, Gustavo Marcelo",246,37,3,79,365,https://votaciones.hcdn.gob.ar/diputado/285
1627,1024,1173,"ZBAR, Agustín",4,7,0,0,11,https://votaciones.hcdn.gob.ar/diputado/1173
1628,258,1242,"ZICARELLI, Orlando",69,12,1,29,111,https://votaciones.hcdn.gob.ar/diputado/1242
1629,1332,420,"ZIEBART, Cristina Isabel",381,8,1,17,407,https://votaciones.hcdn.gob.ar/diputado/420
1630,1245,374,"ZIEGLER, Alex Roberto",658,64,6,85,813,https://votaciones.hcdn.gob.ar/diputado/374
1631,1547,196,"ZILIOTTO, Sergio Raúl",347,28,13,87,475,https://votaciones.hcdn.gob.ar/diputado/196
1632,920,1174,"ZIMMERMANN, Víctor",219,169,30,280,698,https://votaciones.hcdn.gob.ar/diputado/1174
1633,816,1675,"ZOTTOS, Miguel Andrés Costas",373,157,52,343,925,https://votaciones.hcdn.gob.ar/diputado/1675
1634,259,1481,"ZUCCARDI de FLAMARIQUE, María",52,28,1,83,164,https://votaciones.hcdn.gob.ar/diputado/1481
1635,684,1176,"ZUCCARDI, Cristina",62,24,6,73,165,https://votaciones.hcdn.gob.ar/diputado/1176
1636,685,1177,"ZUÑIGA, Ovidio Octavio",70,61,7,27,165,https://votaciones.hcdn.gob.ar/diputado/1177
1637,964,546,"di TULLIO, Juliana",1190,162,6,287,1645,https://votaciones.hcdn.gob.ar/diputado/546
1638,1328,162,"xx BORRAR, Manuel Isauro",388,8,0,11,407,https://votaciones.hcdn.gob.ar/diputado/162
1639,931,523,"ÁLVAREZ RODRIGUEZ, María Cristina",588,168,16,269,1041,https://votaciones.hcdn.gob.ar/diputado/523
1640,1558,1626,"ÁVILA, Beatriz Luisa",77,56,0,35,168,https://votaciones.hcdn.gob.ar/diputado/1626
