,legislador_id,id_hcdn,legislador,Afirmativos,Negativos,Abstenciones,Ausencias,Total,url_hcdn
1380,672,1091,"SAADE, Blanca Azucena",81,22,3,59,165,https://votaciones.hcdn.gob.ar/diputado/1091
1381,1625,1630,"SAADI, Gustavo Arturo",121,18,4,25,168,https://votaciones.hcdn.gob.ar/diputado/1630
1382,345,1399,"SAADI, Luis Alberto",1,0,0,13,14,https://votaciones.hcdn.gob.ar/diputado/1399
1383,222,1092,"SAADI, Ramón Eduardo",58,16,2,200,276,https://votaciones.hcdn.gob.ar/diputado/1092
1384,1235,282,"SABBATELLA, Martín",121,15,5,182,323,https://votaciones.hcdn.gob.ar/diputado/282
1385,346,1298,"SABIO, Juan Carlos",12,2,0,0,14,https://votaciones.hcdn.gob.ar/diputado/1298
1386,1319,295,"SACCA, Luis Fernando",97,91,8,211,407,https://votaciones.hcdn.gob.ar/diputado/295
1387,347,1400,"SACKS, Ruben Rodolfo",2,0,0,12,14,https://votaciones.hcdn.gob.ar/diputado/1400
1388,470,1578,"SAGGESE, Nestor Mario",34,30,0,36,100,https://votaciones.hcdn.gob.ar/diputado/1578
1389,1626,1634,"SAHAD, Julio Enrique",105,61,0,2,168,https://votaciones.hcdn.gob.ar/diputado/1634
1390,471,1093,"SALIM, Fernando Omar",245,64,15,311,635,https://votaciones.hcdn.gob.ar/diputado/1093
1391,1006,55,"SALIM, Juan Arturo",1016,55,5,79,1155,https://votaciones.hcdn.gob.ar/diputado/55
1392,1405,179,"SALINO, Fernando Aldo",84,29,7,63,183,https://votaciones.hcdn.gob.ar/diputado/179
1393,223,1469,"SALINO, María Antonia",93,30,0,41,164,https://votaciones.hcdn.gob.ar/diputado/1469
1394,472,1579,"SALTO, Julio Francisco José",51,19,1,29,100,https://votaciones.hcdn.gob.ar/diputado/1579
1395,1007,1094,"SALUM, Osvaldo Rubén",646,37,10,139,832,https://votaciones.hcdn.gob.ar/diputado/1094
1396,348,1233,"SALUSSO, Horacio Ramón",6,0,0,8,14,https://votaciones.hcdn.gob.ar/diputado/1233
1397,349,1299,"SALVADOR, Daniel Marcelo",6,6,0,2,14,https://votaciones.hcdn.gob.ar/diputado/1299
1398,1627,1642,"SALVAREZZA, Roberto",102,46,5,15,168,https://votaciones.hcdn.gob.ar/diputado/1642
1399,564,1095,"SALVATORI, Pedro",64,15,6,32,117,https://votaciones.hcdn.gob.ar/diputado/1095
1400,350,1401,"SAMID, Manuel Julio",3,0,0,11,14,https://votaciones.hcdn.gob.ar/diputado/1401
1401,224,1479,"SAMPIETRO, Darci",79,20,6,59,164,https://votaciones.hcdn.gob.ar/diputado/1479
1402,1406,218,"SAN MARTÍN, Adrián",287,14,2,187,490,https://votaciones.hcdn.gob.ar/diputado/218
1403,225,1300,"SANCHEZ GALDEANO, Roque",37,6,1,67,111,https://votaciones.hcdn.gob.ar/diputado/1300
1404,673,1097,"SANCHEZ, Liliana Ester",105,37,8,15,165,https://votaciones.hcdn.gob.ar/diputado/1097
1405,473,1541,"SANCHEZ, Mary",40,36,4,20,100,https://votaciones.hcdn.gob.ar/diputado/1541
1406,581,1606,"SANTA MARIA, Jose Francisco",11,2,1,7,21,https://votaciones.hcdn.gob.ar/diputado/1606
1407,474,1098,"SANTANDER, Mario Armando",481,61,21,369,932,https://votaciones.hcdn.gob.ar/diputado/1098
1408,804,1099,"SANTILLI, Diego Cesar",38,4,1,22,65,https://votaciones.hcdn.gob.ar/diputado/1099
1409,1320,293,"SANTILLÁN, Walter Marcelo",650,175,7,50,882,https://votaciones.hcdn.gob.ar/diputado/293
1410,226,80,"SANTIN, Eduardo",294,148,15,178,635,https://votaciones.hcdn.gob.ar/diputado/80
1411,1628,1636,"SAPAG, Alma Liliana",107,45,2,14,168,https://votaciones.hcdn.gob.ar/diputado/1636
1412,1148,1101,"SAPAG, Silvia Estela",117,1,0,5,123,https://votaciones.hcdn.gob.ar/diputado/1101
1413,565,1102,"SAQUER, José Luis",55,25,1,36,117,https://votaciones.hcdn.gob.ar/diputado/1102
1414,805,1103,"SAREDI, Roberto Miguel",61,15,3,2,81,https://votaciones.hcdn.gob.ar/diputado/1103
1415,1008,1104,"SARGHINI, Jorge Emilio",338,124,21,349,832,https://votaciones.hcdn.gob.ar/diputado/1104
1416,227,1480,"SARQUIZ, José Alberto",18,26,0,120,164,https://votaciones.hcdn.gob.ar/diputado/1480
1417,911,1105,"SARTORI, Diego Horacio",496,38,6,158,698,https://votaciones.hcdn.gob.ar/diputado/1105
1418,475,1580,"SAT, Oscar",55,13,2,30,100,https://votaciones.hcdn.gob.ar/diputado/1580
1419,1128,384,"SATRAGNO, Lidia Elsa",103,61,0,201,365,https://votaciones.hcdn.gob.ar/diputado/384
1420,674,1106,"SAVRON, Hayde Teresa",42,29,9,63,143,https://votaciones.hcdn.gob.ar/diputado/1106
1421,1407,559,"SCAGLIA, Gisela",388,130,9,131,658,https://votaciones.hcdn.gob.ar/diputado/559
1422,1129,81,"SCALESI, Juan Carlos",212,14,4,135,365,https://votaciones.hcdn.gob.ar/diputado/81
1423,675,1107,"SCARPIN, Delki",59,14,1,3,77,https://votaciones.hcdn.gob.ar/diputado/1107
1424,228,1402,"SCELZI, Carlos José",64,10,1,36,111,https://votaciones.hcdn.gob.ar/diputado/1402
1425,229,44,"SCHIARETTI, Juan",77,19,6,302,404,https://votaciones.hcdn.gob.ar/diputado/44
1426,1009,1109,"SCHIAVONI, Esther Aida",1,1,1,50,53,https://votaciones.hcdn.gob.ar/diputado/1109
1427,1629,1625,"SCHLERETH, David Pablo",105,61,0,2,168,https://votaciones.hcdn.gob.ar/diputado/1625
