"date","votingId","legislator","party","region","vote","photoUrl","videoUrl"
"1994-06-10 00:03:00",3593,"ABASTO, Angel Leonidas","Justicialista","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A2965.jpg",
"1994-06-10 00:03:00",3593,"ABIHAGGLE, Carlos Enrique","Justicialista","Mendoza","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G230.jpg",
"1994-06-10 00:03:00",3593,"ACEÑOLAZA, Florencio G.","Justicialista","Tucumán","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G14.jpg",
"1994-06-10 00:03:00",3593,"ACHEM, Antonio","Cruzada Renovadora","San Juan","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G125.jpg",
"1994-06-10 00:03:00",3593,"ADAIME, Felipe Teófilo","Autonomista de Corrientes","Corrientes","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G61.jpg",
"1994-06-10 00:03:00",3593,"ALBAMONTE, Alberto Gustavo","Unión Centro Democrático","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G127.jpg",
"1994-06-10 00:03:00",3593,"ALBERTI, Juan Carlos","Unión Cívica Radical","Buenos Aires","NEGATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G64.jpg",
"1994-06-10 00:03:00",3593,"ALCALA, Nestor Ricardo","Justicialista","La Pampa","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G15.jpg",
"1994-06-10 00:03:00",3593,"ALENDE, Oscar Eduardo","Intransigente","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G65.jpg",
"1994-06-10 00:03:00",3593,"ALGABA, Ernesto Pedro","Unión Cívica Radical","Santa Fe","NEGATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G66.jpg",
"1994-06-10 00:03:00",3593,"ALSOGARAY, Albaro Carlos","Unión Centro Democrático","Capital Federal","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G59.jpg",
"1994-06-10 00:03:00",3593,"ALVAREZ ECHAGUE, Raul A.","Justicialista","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G130.jpg",
"1994-06-10 00:03:00",3593,"ALVAREZ GARCIA, Normando","Unión Cívica Radical","Jujuy","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G67.jpg",
"1994-06-10 00:03:00",3593,"ALVAREZ, Carlos Alberto","Frente Grande","Capital Federal","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G128.jpg",
"1994-06-10 00:03:00",3593,"ALVAREZ, Carlos Raúl","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G233.jpg",
"1994-06-10 00:03:00",3593,"AMADEO, Eduardo Pablo","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4812.jpg",
"1994-06-10 00:03:00",3593,"ANTELO, José María","Demócrata Progresista","Santa Fe","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G229.jpg",
"1994-06-10 00:03:00",3593,"ARAGONES de JUAREZ, Mercedes","Justicialista","Santiago del Estero","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G231.jpg",
"1994-06-10 00:03:00",3593,"ARANDA, Saturnino Dantti","Justicialista","Santa Fe","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G16.jpg",
"1994-06-10 00:03:00",3593,"ARGÜELLO, Jorge","Justicialista","Capital Federal","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4317.jpg",
"1994-06-10 00:03:00",3593,"ARIAS, Cesar","Justicialista","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G17.jpg",
"1994-06-10 00:03:00",3593,"ARMENDARIZ, Alejandro","Unión Cívica Radical","Buenos Aires","NEGATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G131.jpg",
"1994-06-10 00:03:00",3593,"ARRECHEA, José Salvador","Justicialista","Chubut","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G132.jpg",
"1994-06-10 00:03:00",3593,"AYALA, Susana Beatriz","Justicialista","Chaco","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G292.jpg",
"1994-06-10 00:03:00",3593,"AYETZ, Liliana","MODIN","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G232.jpg",
"1994-06-10 00:03:00",3593,"BALESTRA, René Helvecio","Unión Cívica Radical","Santa Fe","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A1792.jpg",
"1994-06-10 00:03:00",3593,"BALESTRINI, Alberto","Justicialista","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4437.jpg",
"1994-06-10 00:03:00",3593,"BALESTRINI, Miguel Alberto","Justicialista","Córdoba","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G133.jpg",
"1994-06-10 00:03:00",3593,"BALTER, Carlos Mario","Demócrata de Mendoza","Mendoza","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A21.jpg",
"1994-06-10 00:03:00",3593,"BARBERA, Eliseo","Justicialista","Salta","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G19.jpg",
"1994-06-10 00:03:00",3593,"BARBOTTI, Atilio","Acción Chaqueña","Chaco","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G134.jpg",
"1994-06-10 00:03:00",3593,"BARRIONUEVO, Eduardo Ernesto","Justicialista","Salta","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G293.jpg",
"1994-06-10 00:03:00",3593,"BAUM, Daniel","Justicialista","Neuquén","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G135.jpg",
"1994-06-10 00:03:00",3593,"BECERRA, Carlos Armando","Unión Cívica Radical","Córdoba","NEGATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G136.jpg",
"1994-06-10 00:03:00",3593,"BECERRA, Nicolas Eduardo","Justicialista","Mendoza","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G69.jpg",
"1994-06-10 00:03:00",3593,"BENEDETTI, Jorge Enrique","Unión Cívica Radical","Capital Federal","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/G70.jpg",
"1994-06-10 00:03:00",3593,"BENZI, María Cristina","Justicialista","Santa Fe","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/G234.jpg",
