"date","votingId","legislator","party","region","vote","photoUrl","videoUrl"
"2011-11-30 18:21:19",390,"ABDALA DE MATARAZZO, Norma Amanda","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4759.jpg",
"2011-11-30 18:21:19",390,"ACOSTA, María Julia","Frente para la Victoria - PJ","Catamarca","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4590.jpg",
"2011-11-30 18:21:19",390,"AGOSTO, Walter Alfredo","Peronismo Federal","Santa Fe","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4662.jpg",
"2011-11-30 18:21:19",390,"AGUAD, Oscar Raúl","Unión Cívica Radical","Córdoba","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A4491.jpg",
"2011-11-30 18:21:19",390,"AGUIRRE DE SORIA, Hilda Clelia","Frente para la Victoria - PJ","La Rioja","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4608.jpg",
"2011-11-30 18:21:19",390,"ALBRIEU, Oscar Edmundo Nicolas","Frente para la Victoria - PJ","Rio Negro","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4743.jpg",
"2011-11-30 18:21:19",390,"ALCUAZ, Horacio Alberto","GEN","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4637.jpg",
"2011-11-30 18:21:19",390,"ALFONSÍN, Ricardo","Unión Cívica Radical","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4775.jpg",
"2011-11-30 18:21:19",390,"ALIZEGUI, Antonio Aníbal","Frente para la Victoria - PJ","Entre Ríos","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A4828.jpg",
"2011-11-30 18:21:19",390,"ALONSO, Gumersindo Federico","Frente Cívico - Córdoba","Córdoba","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A4315.jpg",
"2011-11-30 18:21:19",390,"ALONSO, Laura","Partido Bloquista de San Juan","C.A.B.A.","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4732.jpg",
"2011-11-30 18:21:19",390,"ALVAREZ, Elsa María","Unión Cívica Radical","Santa Cruz","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4762.jpg",
"2011-11-30 18:21:19",390,"ALVAREZ, Jorge Mario","Unión Cívica Radical","Santa Fe","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4740.jpg",
"2011-11-30 18:21:19",390,"ALVAREZ, Juan José","Nucleo Unidad Peronista","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A4316.jpg",
