"date","votingId","legislator","party","region","vote","photoUrl","videoUrl"
"2015-10-07 17:26:37",1,"ABDALA DE MATARAZZO, Norma Amanda","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4759.jpg",
"2015-10-07 17:26:37",1,"ABRAHAM, Alejandro","Frente para la Victoria - PJ","Mendoza","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50842.jpg",
"2015-10-07 17:26:37",1,"AGUAD, Oscar Raúl","Unión Cívica Radical","Córdoba","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4491.jpg",
"2015-10-07 17:26:37",1,"AGUILAR, Lino Walter","Compromiso Federal","San Luis","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A50748.jpg",
"2015-10-07 17:26:37",1,"ALEGRE, Gilberto Oscar","Frente Renovador","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50782.jpg",
"2015-10-07 17:26:37",1,"ALFONSÍN, Ricardo","Unión Cívica Radical","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A4775.jpg",
"2015-10-07 17:26:37",1,"ALONSO, Laura","Unión PRO","C.A.B.A.","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A4732.jpg",
"2015-10-07 17:26:37",1,"ALONSO, María Luz","Frente para la Victoria - PJ","La Pampa","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50729.jpg",
"2015-10-07 17:26:37",1,"ARENAS, Berta Hortensia","Compromiso Federal","San Luis","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50859.jpg","https://www.youtube.com/watch?v=lIRTVeo3rRg"
"2015-10-07 17:26:37",1,"ARGUMEDO, Alcira Susana","Proyecto Sur","C.A.B.A.","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4808.jpg","https://www.youtube.com/watch?v=uuiT3NcxjYs"
"2015-10-07 17:26:37",1,"ARREGUI, Andrés Roberto","Frente para la Victoria - PJ","Buenos Aires","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A50676.jpg",
"2015-10-07 17:26:37",1,"ASSEFF, Alberto Emilio","UNIR","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50693.jpg","https://www.youtube.com/watch?v=ttSY7pYf21k"
"2015-10-07 17:26:37",1,"AVOSCAN, Herman Horacio","Frente para la Victoria - PJ","Rio Negro","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50743.jpg",
"2015-10-07 17:26:37",1,"BALCEDO, María Ester","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50684.jpg",
"2015-10-07 17:26:37",1,"BALDASSI, Héctor Walter","Unión PRO","Córdoba","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50820.jpg",
"2015-10-07 17:26:37",1,"BARCHETTA, Omar Segundo","Partido Socialista","Santa Fe","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50759.jpg",
"2015-10-07 17:26:37",1,"BARDEGGIA, Luis María","Frente para la Victoria - PJ","Rio Negro","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50851.jpg",
"2015-10-07 17:26:37",1,"BARLETTA, Mario Domingo","Unión Cívica Radical","Santa Fe","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A50864.jpg",
"2015-10-07 17:26:37",1,"BARRETO, Jorge Rubén","Frente para la Victoria - PJ","Entre Ríos","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50832.jpg",
"2015-10-07 17:26:37",1,"BASTERRA, Luis Eugenio","Frente para la Victoria - PJ","Formosa","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50726.jpg",
"2015-10-07 17:26:37",1,"BAZZE, Miguel Ángel","Unión Cívica Radical","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50687.jpg","https://www.youtube.com/watch?v=9uPK1-E2xRs"
"2015-10-07 17:26:37",1,"BEDANO, Nora Esther","Frente para la Victoria - PJ","Córdoba","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4649.jpg",
"2015-10-07 17:26:37",1,"BERGMAN, Sergio Alejandro","Unión PRO","C.A.B.A.","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50808.jpg",
"2015-10-07 17:26:37",1,"BERNABEY, Ramón Ernesto","Frente para la Victoria - PJ","Córdoba","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50883.jpg",
"2015-10-07 17:26:37",1,"BIANCHI, Ivana María","Compromiso Federal","San Luis","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4585.jpg",
"2015-10-07 17:26:37",1,"BIANCHI, María del Carmen","Frente para la Victoria - PJ","C.A.B.A.","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A50703.jpg",
"2015-10-07 17:26:37",1,"BIDEGAIN, Gloria Mercedes","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4621.jpg",
"2015-10-07 17:26:37",1,"BIELLA CALVET, Bernardo José","U.De.So. Salta","Salta","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50745.jpg",
"2015-10-07 17:26:37",1,"BINNER, Hermes Juan","Partido Socialista","Santa Fe","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A50865.jpg",
"2015-10-07 17:26:37",1,"BOYADJIAN, Graciela Eunice","Movimiento Popular Fueguino","Tierra del Fuego","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50873.jpg",
"2015-10-07 17:26:37",1,"BRAWER, Mara","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50706.jpg",
"2015-10-07 17:26:37",1,"BREGMAN, Myriam","PTS - Frente de Izquierda","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50889.jpg",
"2015-10-07 17:26:37",1,"BRIZUELA DEL MORAL, Eduardo Segundo","Fte. Cívico y Social de Catamarca","Catamarca","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A50805.jpg",
"2015-10-07 17:26:37",1,"BROMBERG, Isaac Benjamín","Frente para la Victoria - PJ","Tucumán","AUSENTE","https://votaciones.hcdn.gob.ar/public/diputados/images/A50765.jpg",
"2015-10-07 17:26:37",1,"BROWN, Carlos Ramón","Fe","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50686.jpg",
"2015-10-07 17:26:37",1,"BULLRICH, Patricia","Unión PRO","C.A.B.A.","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4665.jpg","https://www.youtube.com/watch?v=p0Y0CNrIdlY"
"2015-10-07 17:26:37",1,"BURGOS, María Gabriela","Unión Cívica Radical","Jujuy","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50836.jpg",
"2015-10-07 17:26:37",1,"BURYAILE, Ricardo","Unión Cívica Radical","Formosa","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4757.jpg",
"2015-10-07 17:26:37",1,"CABANDIÉ, Juan","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50809.jpg",
"2015-10-07 17:26:37",1,"CÁCERES, Eduardo Augusto","Unión PRO","San Juan","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50857.jpg",
"2015-10-07 17:26:37",1,"CALCAGNO Y MAILLMANN, Eric","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50678.jpg",
"2015-10-07 17:26:37",1,"CAMAÑO, Graciela","Frente Renovador","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A3457.jpg",
"2015-10-07 17:26:37",1,"CANELA, Susana","Frente para la Victoria - PJ","Salta","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50853.jpg",
"2015-10-07 17:26:37",1,"CANO, José Manuel","Unión Cívica Radical","Tucumán","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50877.jpg",
"2015-10-07 17:26:37",1,"CARLOTTO, Remo Gerardo","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A4438.jpg",
"2015-10-07 17:26:37",1,"CARMONA, Guillermo Ramón","Frente para la Victoria - PJ","Mendoza","AFIRMATIVO","https://votaciones.hcdn.gob.ar/public/diputados/images/A50734.jpg","https://www.youtube.com/watch?v=YmmYxq7OzLk"
