id,votacion_id,original_id,itul
42,42,"55-PE-1993","Insistencia de la HCDN en la sanción original del 2° Párrafo del Artículo 34° del Proyecto de Ley registrado bajo el N° 24.307, Presupuesto de la Administración Nacional para el Ejercicio Fiscal 1994, observada parcialmente por el PEN por Decreto 2660/93"
43,43,"23-S-1994","Comunicación de la Resolución adoptada por el HSN dando cuenta de que la Comisión Bicameral de la Defensoría del Pueblo del HCN propone el nombramiento del Doctor Jorge Luis Maiorano como Defensor del Pueblo"
44,44,"747-PE-1995","Fondo Fiduciario para el Desarrollo Provincial (Decreto 286/95) - En General y Particular"
45,45,"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - Artículo 33°"
46,46,"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - Artículo 23"
47,47,"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - Artículo 22°"
48,48,"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - Artículo 21°"
49,49,"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - Artículo 20°"
50,50,"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - Artículo 19°"
51,51,"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - Artículo 10°"
52,52,"2-JGM-1995","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1996 - En General"
53,53,"41-PE-1995","Prorroga la vigencia de la Ley de Impuesto a las Ganancias (T.O 1986 y Modificatorias) hasta el 31/12/05"
54,54,"83-PE-1994","Nuevo Tipo Societario denominado 'Sociedad Anónima de Trabajadores' (SAT), dentro del marco general de la Ley 19.550 (Sociedades Comerciales) - Artículo 21°"
55,55,"4607-D-1995","Designación de un Auditor General de la Nación"
56,56,"152-D-1993","Régimen de inscripción e identificación del recién nacido - En General"
57,57,"53-S-1995","Insistencia de la HCDN, en el proyecto de Ley Nº 24.485, Modificación de la Carta Orgánica del Banco Central de la República Argentina observada parcialmente por el PEN Decreto 538/95"
58,58,"27-PE-1994","Ley de Concursos y Quiebras: Derogación de la Ley 19.551. Modificada por las Leyes 22.917 y 22.885 - En Particular"
59,59,"27-PE-1994","Ley de Concursos y Quiebras: Derogación de la Ley 19.551. Modificada por las Leyes 22.917 y 22.885 - En General dictamen de la mayoría"
60,60,"447-PE-1994","Régimen de Mediación y Conciliación en Juicios - Artículo 18"
61,61,"447-PE-1994","Régimen de Mediación y Conciliación en Juicios - Texto del Artículo 16º propuesto por el Diputado Pichetto"
62,62,"447-PE-1994","Régimen de Mediación y Conciliación en Juicios - Artículo 16º del proyecto aprobado en general"
63,63,"447-PE-1994","Régimen de Mediación y Conciliación en Juicios - Artículos del 4º al 14º"
64,64,"59-PE-1994","Régimen de Accidentes de Trabajo, Regulación de la Prevención de los riesgos y la reparación de los Daños Derivados del Trabajo - Artículo 39º"
65,65,"59-PE-1994","Régimen de Accidentes de Trabajo, Regulación de la Prevención de los riesgos y la reparación de los Daños Derivados del Trabajo - En General"
66,66,"256-D-1994","Promoción de Juicio Político al Señor Juez de la Sala IV de la Cámara de Apelaciones del Trabajo, Doctor Eduardo Perugini"
67,67,"6-PE-1994","Régimen para el Conjunto de las Instituciones de Educación Superior y en particular para las Universidades Nacionales, Privadas y Provinciales - En General dictamen de la mayoría"
68,68,"8-PE-1995","Insistencia de la HCDN en la sanción original del proyecto de ley que trata el Régimen de Normalización para los Trabajadores Autónomos; Derogación del Decreto 2104/93 (Moratoria Previsional), observado por el PEN por Decreto 536/95, Mensaje 0537"
69,69,"24-S-1995","Insistencia de la HCDN en la sanción original de la Ley de Régimen de Patentes y Modelos de Utilidad observado por el PEN por Decreto 548/95, Mensaje 0544/95"
70,70,"3-PE-1995","Insistencia de la HCDN en la sanción original de la Ley de Solidaridad Previsional Observada por el PEN por Decreto 417/95, Mensaje 0418"
71,71,"12-PE-1995","Insistencia de la HCDN, en la sanción original del Proyecto que Prorroga por 180 días la entrada en vigencia del Libro I de la Ley 24.241 (Sistema Integrado de Jubilaciones y Pensiones), según lo dispuesto por el Decreto 806/94, modificado por el Decreto 1362/94, en lo referente al personal en relación de dependencia o Autónomo comprendido en los Convenios de corresponsabilidad gremial - Vetado por el PEN por Decreto 580/95"
72,72,"53-PE-1993","Régimen de Patentes y Modelos de Utilidad - En General"
73,73,"1-PE-1995","Autorización al Poder Ejecutivo Nacional a conservar solo una acción de la Clase 'A' de YPF S.A, disminuyendo la participación accionaria del Estado Nacional por debajo de lo Previsto por el Artículo 8º de la Ley 24.145 - Artículo 4º"
74,74,"1-PE-1995","Autorización al Poder Ejecutivo Nacional a conservar solo una acción de la Clase 'A' de YPF S.A, disminuyendo la participación accionaria del Estado Nacional por debajo de lo Previsto por el Artículo 8º de la Ley 24.145 - Artículo 3°"
75,75,"1-PE-1995","Autorización al Poder Ejecutivo Nacional a conservar solo una acción de la Clase 'A' de YPF S.A, disminuyendo la participación accionaria del Estado Nacional por debajo de lo Previsto por el Artículo 8º de la Ley 24.145 - Artículo 2º"
76,76,"1-PE-1995","Autorización al Poder Ejecutivo Nacional a conservar solo una acción de la Clase 'A' de YPF S.A, disminuyendo la participación accionaria del Estado Nacional por debajo de lo Previsto por el Artículo 8º de la Ley 24.145 - En General"
77,77,"1-PE-1995","Autorización al Poder Ejecutivo Nacional a conservar solo una acción de la Clase 'A' de YPF S.A, disminuyendo la participación accionaria del Estado Nacional por debajo de lo Previsto por el Artículo 8º de la Ley 24.145 - En General"
78,78,"65-PE-1993","Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Artículo 5º"
79,79,"65-PE-1993","Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Artículo 4º"
80,80,"65-PE-1993","Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Artículo 3º"
81,81,"65-PE-1993","Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Rectificación de la votación del Artículo 3º"
82,82,"65-PE-1993","Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Artículo 3º"
83,83,"65-PE-1993","Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Artículo 2º	Nominal"
84,84,"65-PE-1993","Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Artículo 1º con modificaciones"
85,85,"65-PE-1993","Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - En General"
86,86,"55-PE-1994","Régimen de Solidaridad Previsional y Reformas al Sistema Integrado de Jubilaciones y Pensiones - Artículo 3°"
87,87,"55-PE-1994","Régimen de Solidaridad Previsional y Reformas al Sistema Integrado de Jubilaciones y Pensiones - Artículo 2°"
88,88,"68-PE-1994","Insistencia de la HCDN en la sanción del proyecto de Ley registrado con el N° 24.416, Creación del Fondo de Emergencia Agropecuaria, observado totalmente por el PEN por decreto 2272/94"
89,89,"8-PE-1996","Obligatoriedad de presentar los resultados de las pruebas Físico-químicas, Biológicas, Microbiológicas, Farmacológicas, Toxicológicas y Clínicas ante el ANMAT, el Ministerio de Salud y Acción Social o el IASCAU en casos de requerirse la autorización de dichos Organismos Gubernamentales para la comercialización de un producto en el Mercado Nacional - Ley de Confidencialidad Técnica - En Particular"
90,90,"8-PE-1996","Obligatoriedad de presentar los resultados de las pruebas Físico-químicas, Biológicas, Microbiológicas, Farmacológicas, Toxicológicas y Clínicas ante el ANMAT, el Ministerio de Salud y Acción Social o el IASCAU en casos de requerirse la autorización de dichos Organismos Gubernamentales para la comercialización de un producto en el Mercado Nacional - Ley de Confidencialidad Técnica - En General"
91,91,"706-PE-1996","Modificación de las Leyes de Procedimiento Tributario 11.683 y 24.674 - Artículo 13º"
92,92,"706-PE-1996","Modificación de las Leyes de Procedimiento Tributario 11.683 y 24.674 - En General"
93,93,"1017-D-1996","Modificación del Reglamento de la H. Cámara de Diputados de la Nación - Artículo 41º del dictamen de la mayoría"
94,94,"488-D-1995","Insistencia de la HCDN en la sanción original, rechazando las modificaciones introducidas por la Cámara revisora en el Régimen para la iniciativa Popular, Reglamentación del Artículo 39º de la Constitución Nacional"
95,95,"488-D-1995","Insistencia de la HCDN en la sanción original, rechazando las modificaciones introducidas por la Cámara revisora en el Régimen para la iniciativa Popular, Reglamentación del Artículo 39º de la Constitución Nacional"
96,96,"815-D-1995","Insistencia de la HCDN en la sanción original, rechazando las modificaciones introducidas por el Senado en la ley de Acceso a la Información - Reglamentación del Artículo 43º de la Constitución Nacional - Habeas Data"
97,97,"4028-D-1995","Promoción de Juicio Político al titular del Juzgado Criminal de Instrucción Nº 25, Doctor Francisco Trovato"
98,98,"14-JGM-1996","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1997"
99,99,"14-JGM-1996","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1997"
100,100,"14-JGM-96","Presupuesto General de la Administración Nacional para el Ejercicio Fiscal del año 1997"
101,101,"1296-S-1995","Modificación de la Ley 20.744 de Contrato de Trabajo - En General"
102,102,"26-PE-1996","Insistencia de la HCDN en la sanción original del proyecto que autoriza al PEN a incrementar la partida correspondiente a los Héroes de Malvinas vetado por Decreto 766/96"
103,103,"24-PE-1996","Insistencia de la HCDN en la sanción original del proyecto que Modifica la ley 23.848 de Pensiones a Ex-Soldados que participaron en la Guerra de Malvinas, Observado por el PEN por decreto 666/96"
104,104,"4028-D-1996","Pedido de Juicio Político al Señor Juez de Instrucción, Doctor Francisco Miguel Ángel Trovato"
105,105,"1628-D-1995","Régimen de Gestión de Residuos Radiactivos - Artículo 12º"
106,106,"2297-D-1996","Ley Nacional de la Actividad Nuclear - En General"
107,107,"1017-D-1996","Modificación del Reglamento de la HCDN"
108,108,"2959-D-1993","Insistencia de la HCDN en su sanción original del proyecto de Ley de Régimen para realizar tareas remuneradas en el territorio de la Nación y en Aeronaves, Buques y Artefactos Navales que enarbolen el pabellón Nacional"
109,109,"167-OV-1996","Promoción de Juicio Político al Titular del Juzgado Nacional en lo Civil Nº 29, Doctor Carlos Wowe"
110,110,"5216-D-1995","Régimen de Reforma Tributaria - Artículo 9º modificado por el Senado"
111,111,"5216-D-1995","Régimen de Reforma Tributaria"
112,112,"67-PE-1995","Prórroga del Pacto Federal para el Empleo, la Producción y el Crecimiento del 12/08/93, con efecto retroactivo hasta el 31/12/96 - Artículo 2º"
113,113,"67-PE-1995","Prórroga del Pacto Federal para el Empleo, la Producción y el Crecimiento del 12/08/93, con efecto retroactivo hasta el 31/12/96 - Reconsideración de la votación del Artículo 1"
114,114,"520-S-1996","Régimen Orgánico del Ministerio Público - En General"
115,115,"935-S-1993","Insistencia de la HCDN en la sanción original del proyecto de Ley de Transferencia a título gratuito de un inmueble a favor de la Asociación Civil Club Teléfonos Buenos Aires en el partido de Vicente López, Provincia de Buenos Aire"
116,116,"19-JGM-1997","Presupuesto General de la Administración Nacional para el ejercicio fiscal del año 1998"
117,117,"207-S-1997","Cesión del Estado Nacional al Estado Provincial de Entre Ríos la totalidad de sus Derechos y Obligaciones, sobre el aprovechamiento binacional Hidroeléctrico Salto Grande - En General y Particular"
118,118,"19-JGM-1997","Presupuesto General de la Administración Nacional para el ejercicio fiscal del año 1998"
119,119,"19-JGM-1997","Presupuesto General de la Administración Nacional para el ejercicio fiscal del año 1998"
120,120,"19-JGM-1997","Presupuesto General de la Administración Nacional para el ejercicio fiscal del año 1998"
121,121,"19-JGM-1997","Presupuesto General de la Administración Nacional para el ejercicio fiscal del año 1998"
122,122,"19-JGM-1997","Presupuesto General de la Administración Nacional para el ejercicio fiscal del año 1998"
123,123,"6419-D-1996","Ley de persecución penal eficaz; Incorporación de la figura del arrepentido. Modificación del Código Penal - En General"
124,124,"909-D-1997","Insistencia de la HCDN en la sanción original del proyecto de Ley de Equiparación del tratamiento arancelario para la importación de determinadas mercaderías provenientes del Mercosur, con los derechos que los otros países miembros aplican a los productos argentinos"
125,125,"12-PE-1996","Insistencia de la HCDN en la sanción original del proyecto de Ley de estabilidad fiscal por el plazo de 33 años para las inversiones en la actividad forestal y aprovechamiento de Bosques comprendidos en la ley 13.273 de Defensa de la Riqueza Forestal"
126,126,"7202-D-1996","Promover Juicio Político al Juez Federal de Dolores, Provincia de Buenos Aires, Doctor Hernán Bernasconi"
127,127,"50-PE-1996","Creación del Fondo Fiduciario Federal de Infraestructura Regional y Privatización del Banco Hipotecario Nacional (Desarrollo Regional y Generación de Empleo) - Artículo 28º"
128,128,"50-PE-1996","Creación del Fondo Fiduciario Federal de Infraestructura Regional y Privatización del Banco Hipotecario Nacional (Desarrollo Regional y Generación de Empleo) - Artículo 5º"
129,129,"50-PE-1996","Creación del Fondo Fiduciario Federal de Infraestructura Regional y Privatización del Banco Hipotecario Nacional (Desarrollo Regional y Generación de Empleo) - En General dictamen de la Mayoría"
130,130,"7-PE-1997","Insistencia de la HCDN en la sanción original de la Ley 24.800. Régimen para la actividad teatral, en los incisos E) y F) del Artículo 19º y en su Artículo 27º, observada por el PEN por decreto 322/97"
131,131,"7799-D-1996","Promover Juicio Político contra el Titular del Juzgado Federal en lo Criminal y Correccional de Primera Instancia Nº 12 de la Capital Federal, Doctor Carlos Branca"
132,132,"73-PE-1998","Acuerdo entre la República Argentina y la República de Chile para precisar el recorrido del límite desde el Monte Fritz Roy hasta el Cerro Daudet"
133,133,"229-S-1998","Distribución del producido del Impuesto sobre los intereses pagados y el costo financiero del endeudamiento empresario y del Impuesto a la Ganancia Mínima presunta - En General y Particular"
134,134,"3919-D-1996","Desestimar el Juicio Político a los Señores Ministros de la Corte Suprema de Justicia de la Nación - Dictamen de la Mayoría"
135,135,"16-PE-1998","Régimen de Reforma Laboral"
136,136,"16-PE-1998","Régimen de Reforma Laboral"
137,137,"16-PE-1998","Régimen de Reforma Laboral"
138,138,"16-PE-1998","Régimen de Reforma Laboral"
139,139,"16-PE-1998","Régimen de Reforma Laboral"
140,140,"16-PE-1998","Régimen de Reforma Laboral"
141,141,"16-PE-1998","Régimen de Reforma Laboral"
142,142,"6787-D-1997","Régimen Legal del Sistema de Tarjetas de Crédito - Artículo 20º con modificaciones"
143,143,"77-PE-1997","Insistencia de la HCDN en la sanción original del artículo 73º de la ley 24.938, de Presupuesto de la Administración Nacional para el año 1998 vetada por el PEN por decreto 1453/97"
144,144,"77-PE-1997","Insistencia de la HCDN en la sanción original del artículo 51º de la Ley 24.938, de Presupuesto de la Administración Nacional para el año 1998 vetada por el PEN por decreto 1453/97"
145,145,"6728-D-1997","Proceder a la Apertura del sobre que contiene la Declaración Jurada Patrimonial del Diputado Antonio Domingo Bussi"
