id,voting_id,legislador_id,legislador,bloque_id,bloque,provincia_id,provincia,voto
358495,1396,1156,"ABDALA DE MATARAZZO, Norma Amanda",119,"Frente Cívico por Santiago",22,"Santiago del Estero",AFIRMATIVO
358496,1396,930,"AGUAD, Oscar Raúl",6,"Unión Cívica Radical",3,Córdoba,AUSENTE
358497,1396,1247,"AGUILAR, Lino Walter",182,"Frente Peronista",19,"San Luis",AUSENTE
358498,1396,1036,"ALBARRACIN, Jorge Luis",6,"Unión Cívica Radical",13,Mendoza,NEGATIVO
358499,1396,1157,"ALBRIEU, Oscar Edmundo Nicolas",1,"Frente para la Victoria - PJ",16,"Río Negro",AFIRMATIVO
358500,1396,1158,"ALFONSÍN, Ricardo",6,"Unión Cívica Radical",1,"Buenos Aires",NEGATIVO
358501,1396,819,"ALONSO, Gumersindo Federico",168,"Frente Cívico - Córdoba",3,Córdoba,AUSENTE
358502,1396,1160,"ALONSO, Laura",183,"Partido Bloquista de San Juan",2,C.A.B.A.,AUSENTE
358503,1396,1248,"ALONSO, María Luz",1,"Frente para la Victoria - PJ",11,"La Pampa",AFIRMATIVO
358504,1396,1161,"ALVAREZ, Elsa María",6,"Unión Cívica Radical",20,"Santa Cruz",NEGATIVO
358505,1396,1162,"ALVAREZ, Jorge Mario",6,"Unión Cívica Radical",21,"Santa Fe",NEGATIVO
358506,1396,18,"AMADEO, Eduardo Pablo",182,"Frente Peronista",1,"Buenos Aires",AUSENTE
358507,1396,1249,"ARAGON, Santiago",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AFIRMATIVO
358508,1396,1163,"ARENA, Celia Isabel",30,"No Integra Bloque",21,"Santa Fe",AFIRMATIVO
358509,1396,1164,"ARGUMEDO, Alcira Susana",142,"Proyecto Sur",2,C.A.B.A.,AUSENTE
358510,1396,1250,"ARREGUI, Andrés Roberto",1,"Frente para la Victoria - PJ",1,"Buenos Aires",AFIRMATIVO
358511,1396,1166,"ASPIAZU, Lucio Bernardo",6,"Unión Cívica Radical",7,Corrientes,AUSENTE
