id,voting_id,legislador_id,legislador,bloque_id,bloque,provincia_id,provincia,voto
85838,335,714,"ABALOS, Roberto José",6,"Unión Cívica Radical",22,"Santiago del Estero",AUSENTE
85839,335,818,"ABDALA, Josefina",6,"Unión Cívica Radical",13,Mendoza,NEGATIVO
85840,335,715,"ACCAVALLO, Julio César",39,FREPASO,16,"Río Negro",AUSENTE
85841,335,716,"AGUERO, Elda Susana",2,Justicialista,1,"Buenos Aires",AUSENTE
85842,335,584,"ALARCON, María del Carmen",2,Justicialista,21,"Santa Fe",AFIRMATIVO
85843,335,585,"ALCHOURON, Guillermo Eduardo",50,"Acción por la República",1,"Buenos Aires",AUSENTE
85844,335,819,"ALONSO, Gumersindo Federico",82,"Partido Nuevo Contra la Corrupción",3,Córdoba,AFIRMATIVO
85845,335,820,"ALVAREZ, Juan José",2,Justicialista,1,"Buenos Aires",AFIRMATIVO
85846,335,717,"ALVAREZ, Roque Tobías",2,Justicialista,24,Tucumán,AFIRMATIVO
85847,335,718,"AMSTUTZ, Guillermo",2,Justicialista,13,Mendoza,AFIRMATIVO
85848,335,22,"ARGÜELLO, Jorge",2,Justicialista,2,C.A.B.A.,AUSENTE
85849,335,821,"ARNOLD, Eduardo Ariel",2,Justicialista,20,"Santa Cruz",AFIRMATIVO
85850,335,822,"ARTOLA, Isabel Amanda",83,"Frente Popular Bonaerense",1,"Buenos Aires",AFIRMATIVO
85851,335,384,"ATANASOF, Alfredo Néstor",2,Justicialista,1,"Buenos Aires",AFIRMATIVO
85852,335,823,"BAIGORRI, Guillermo Francisco",2,Justicialista,18,"San Juan",AFIRMATIVO
85853,335,719,"BAIGORRIA, Miguel Angel",2,Justicialista,23,"Tierra del Fuego",AFIRMATIVO
85854,335,499,"BALADRON, Manuel Justo",2,Justicialista,11,"La Pampa",AFIRMATIVO
85855,335,720,"BALTUZZI, Angel Enzo",2,Justicialista,21,"Santa Fe",AFIRMATIVO
85856,335,694,"BARBAGELATA, María Elena",66,"Partido Socialista",2,C.A.B.A.,AFIRMATIVO
85857,335,721,"BASILE, Daniel Armando",2,Justicialista,1,"Buenos Aires",AUSENTE
85858,335,722,"BASTEIRO, Sergio Ariel",66,"Partido Socialista",1,"Buenos Aires",AFIRMATIVO
85859,335,723,"BASUALDO, Roberto",2,Justicialista,18,"San Juan",AFIRMATIVO
85860,335,724,"BAYONZO, Liliana Amelia",6,"Unión Cívica Radical",5,Chaco,NEGATIVO
85861,335,824,"BECCANI, Alberto Juan",6,"Unión Cívica Radical",21,"Santa Fe",NEGATIVO
85862,335,825,"BEJARANO, Mario Fernando",2,Justicialista,9,Formosa,AFIRMATIVO
85863,335,826,"BERTOLYOTTI, Delma Noemí",2,Justicialista,8,"Entre Ríos",AUSENTE
85864,335,725,"BERTONE, Rosana Andrea",2,Justicialista,23,"Tierra del Fuego",AUSENTE
85865,335,372,"BIANCHI SILVESTRE, Marcela Alejandra",2,Justicialista,1,"Buenos Aires",AFIRMATIVO
85866,335,726,"BLANCO, Jesus Abel",2,Justicialista,1,"Buenos Aires",AFIRMATIVO
85867,335,827,"BONACORSI, Juan Carlos",72,"Unidad Federalista",1,"Buenos Aires",AFIRMATIVO
85868,335,828,"BONASSO, Miguel Luis",84,"Partido de la Revolucion Democratica",2,C.A.B.A.,AFIRMATIVO
85869,335,829,"BORSANI, Luis Gustavo",6,"Unión Cívica Radical",13,Mendoza,NEGATIVO
85870,335,393,"BORTOLOZZI de BOGADO, Adriana Raquel",2,Justicialista,9,Formosa,AFIRMATIVO
85871,335,830,"BOSCH, Irene Miriam",85,"Frente Renovador",14,Misiones,AFIRMATIVO
85872,335,831,"BOSSA, Mauricio",53,"U. Ce. De.",3,Córdoba,AFIRMATIVO
85873,335,273,"BREARD, Noel Eugenio",6,"Unión Cívica Radical",7,Corrientes,NEGATIVO
85874,335,727,"BROWN, Carlos Ramón",2,Justicialista,1,"Buenos Aires",AFIRMATIVO
85875,335,832,"CACERES, Gladys Antonia",2,Justicialista,12,"La Rioja",AUSENTE
85876,335,502,"CAFIERO, Mario Alejandro",60,A.R.I,1,"Buenos Aires",ABSTENCION
85877,335,58,"CAMAÑO, Eduardo Oscar",67,"Justicialista Nacional",1,"Buenos Aires",AUSENTE
85878,335,280,"CAMAÑO, Graciela",2,Justicialista,1,"Buenos Aires",AFIRMATIVO
85879,335,400,"CAMBARERI, Fortunato Rafael",6,"Unión Cívica Radical",6,Chubut,NEGATIVO
85880,335,833,"CANTEROS, Gustavo Jesús Adolfo",86,"Frente Proyecto Corrientes",7,Corrientes,AFIRMATIVO
85881,335,729,"CANTINI, Guillermo Marcelo",68,"Unión por Argentina",2,C.A.B.A.,AUSENTE
85882,335,834,"CANTOS, José María",2,Justicialista,22,"Santiago del Estero",AFIRMATIVO
85883,335,730,"CAPPELLERI, Pascual",6,"Unión Cívica Radical",1,"Buenos Aires",NEGATIVO
85884,335,731,"CARBONETTO, Daniel",87,M.M.T.A.,1,"Buenos Aires",AFIRMATIVO
85885,335,732,"CASANOVAS, Jorge Osvaldo",2,Justicialista,1,"Buenos Aires",AFIRMATIVO
85886,335,835,"CASERIO, Carlos Alberto",2,Justicialista,3,Córdoba,AFIRMATIVO
85887,335,836,"CASSESE, Marina",2,Justicialista,1,"Buenos Aires",AFIRMATIVO
85888,335,505,"CASTRO, Alicia Amalia",61,"Frente para el Cambio",1,"Buenos Aires",AFIRMATIVO
85889,335,837,"CECCO, Carlos Jaime",6,"Unión Cívica Radical",8,"Entre Ríos",NEGATIVO
85890,335,733,"CEREZO, Octavio Néstor",2,Justicialista,4,Catamarca,AFIRMATIVO
85891,335,734,"CETTOUR, Hugo Ramón",2,Justicialista,8,"Entre Ríos",AFIRMATIVO
85892,335,507,"CHAYA, María Lelia",2,Justicialista,17,Salta,AUSENTE
85893,335,695,"CHIACCHIO, Nora Alicia",2,Justicialista,1,"Buenos Aires",AFIRMATIVO
85894,335,838,"CHIRONI, Fernando Gustavo",6,"Unión Cívica Radical",16,"Río Negro",NEGATIVO
85895,335,735,"CIGOGNA, Luis Francisco Jorge",2,Justicialista,1,"Buenos Aires",AFIRMATIVO
85896,335,736,"CISTERNA, Victor Hugo",2,Justicialista,6,Chubut,AUSENTE
85897,335,839,"CITTADINI, Stella",2,Justicialista,3,Córdoba,AUSENTE
85898,335,840,"COMELLI, Alicia Marcela",16,"Movimiento Popular Neuquino",15,Neuquén,AUSENTE
85899,335,737,"CONTE  GRAND, Gerardo Amadeo",2,Justicialista,2,C.A.B.A.,AFIRMATIVO
