id,voting_id,legislador_id,legislador,bloque_id,bloque,provincia_id,provincia,voto
46003,180,376,"ABALOVICH, Eduardo Antonio",6,"Unión Cívica Radical",22,"Santiago del Estero",AFIRMATIVO
46004,180,377,"ABAN, Gloria del S.",2,Justicialista,17,Salta,AFIRMATIVO
46005,180,3,"ABASTO, Angel Leonidas",2,Justicialista,1,"Buenos Aires",AUSENTE
46006,180,494,"ABELLA, Miguel Angel",6,"Unión Cívica Radical",3,Córdoba,AFIRMATIVO
46007,180,378,"ACEVEDO, Sergio Edgardo",2,Justicialista,20,"Santa Cruz",NEGATIVO
46008,180,7,"ADAIME, Felipe Teófilo",4,"Autonomista de Corrientes",7,Corrientes,AFIRMATIVO
46009,180,495,"AGUIRRE, Orlando Raul",2,Justicialista,9,Formosa,NEGATIVO
46010,180,379,"ALARCIA, Martha Carmen",2,Justicialista,3,Córdoba,AFIRMATIVO
46011,180,496,"ALBRISI, César Alfredo",50,"Acción por la República",3,Córdoba,AUSENTE
46012,180,380,"ALESSANDRO, Dario Pedro",39,FREPASO,25,"Capital Federal",AFIRMATIVO
46013,180,381,"ALLENDE, Alfredo Estanislao",6,"Unión Cívica Radical",1,"Buenos Aires",AFIRMATIVO
46014,180,13,"ALSOGARAY, Albaro Carlos",5,"Unión Centro Democrático",25,"Capital Federal",AUSENTE
46015,180,382,"ALTERACH, Miguel Angel",2,Justicialista,14,Misiones,AFIRMATIVO
46016,180,14,"ALVAREZ ECHAGUE, Raul A.",2,Justicialista,1,"Buenos Aires",AUSENTE
46017,180,15,"ALVAREZ GARCIA, Normando",6,"Unión Cívica Radical",10,Jujuy,AFIRMATIVO
46018,180,16,"ALVAREZ, Carlos Alberto",39,FREPASO,25,"Capital Federal",AFIRMATIVO
46019,180,20,"ARAGONES de JUAREZ, Mercedes",2,Justicialista,22,"Santiago del Estero",AUSENTE
46020,180,383,"ARAMBURU, Guillermo Raul",6,"Unión Cívica Radical",21,"Santa Fe",AFIRMATIVO
46021,180,23,"ARIAS, Cesar",2,Justicialista,1,"Buenos Aires",AUSENTE
46022,180,384,"ATANASOF, Alfredo Néstor",2,Justicialista,1,"Buenos Aires",AUSENTE
46023,180,497,"AUBIA, Jorge Eduardo",6,"Unión Cívica Radical",6,Chubut,AFIRMATIVO
46024,180,498,"AVELIN de GINESTAR, Nancy B.",3,"Cruzada Renovadora",18,"San Juan",NEGATIVO
46025,180,385,"AVILA, Eduardo Carlos",2,Justicialista,22,"Santiago del Estero",AFIRMATIVO
46026,180,264,"AYALA, Juan Carlos",2,Justicialista,5,Chaco,AFIRMATIVO
46027,180,499,"BALADRON, Manuel Justo",2,Justicialista,11,"La Pampa",AFIRMATIVO
46028,180,28,"BALESTRA, René Helvecio",6,"Unión Cívica Radical",21,"Santa Fe",AFIRMATIVO
46029,180,31,"BALTER, Carlos Mario",11,"Demócrata de Mendoza",13,Mendoza,ABSTENCION
46030,180,386,"BANZAS de MOREAU, María del Cármen",6,"Unión Cívica Radical",1,"Buenos Aires",AUSENTE
46031,180,387,"BARBERIS, Edgardo Angel",6,"Unión Cívica Radical",21,"Santa Fe",AFIRMATIVO
46032,180,388,"BARRIOS ARRECHEA, Ricardo A.",6,"Unión Cívica Radical",14,Misiones,AFIRMATIVO
46033,180,389,"BARRIOS, Luis Américo",2,Justicialista,12,"La Rioja",AFIRMATIVO
46034,180,267,"BAYLAC, Juan Pablo",6,"Unión Cívica Radical",1,"Buenos Aires",AFIRMATIVO
46035,180,36,"BECERRA, Carlos Armando",6,"Unión Cívica Radical",3,Córdoba,AFIRMATIVO
46036,180,38,"BENEDETTI, Jorge Enrique",6,"Unión Cívica Radical",25,"Capital Federal",AFIRMATIVO
46037,180,390,"BIANCULLI, Leticia",2,Justicialista,1,"Buenos Aires",AUSENTE
46038,180,43,"BONINO, Miguel Angel",6,"Unión Cívica Radical",19,"San Luis",AUSENTE
46039,180,392,"BORDENAVE, Marcela Antonia",39,FREPASO,1,"Buenos Aires",AFIRMATIVO
46040,180,500,"BRANDONI, Adalberto Luis",6,"Unión Cívica Radical",25,"Capital Federal",AFIRMATIVO
46041,180,48,"BRAVO, Alfredo Pedro",39,FREPASO,25,"Capital Federal",AFIRMATIVO
46042,180,394,"BRAVO, Leopoldo Alfredo",20,"Bloquista de San Juan",18,"San Juan",AUSENTE
46043,180,395,"BRITOS, Oraldo Norvel",2,Justicialista,19,"San Luis",AUSENTE
46044,180,396,"BULACIO, Rafael Alfredo",42,"Republicano Democrático",24,Tucumán,AFIRMATIVO
46045,180,501,"BUSSI, Ricardo Argentino",15,"Fuerza Republicana",24,Tucumán,AFIRMATIVO
46046,180,397,"CABALLERO MARTIN, Carlos Aurelio",9,"Demócrata Progresista",21,"Santa Fe",AUSENTE
46047,180,398,"CAFFERATA NORES, José Ignacio",6,"Unión Cívica Radical",3,Córdoba,AUSENTE
46048,180,277,"CAFIERO, Juan Pablo",39,FREPASO,1,"Buenos Aires",AFIRMATIVO
46049,180,502,"CAFIERO, Mario Alejandro",2,Justicialista,1,"Buenos Aires",AFIRMATIVO
46050,180,399,"CAILLET, Carmen del Rosario",2,Justicialista,18,"San Juan",AFIRMATIVO
